20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修.,330万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RwYH1RFGt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年唯一，端头户型明亮，中间楼层，花园社区,560万,中楼层                                    (共8层)                                                                      | 2000年建 |                                3室2厅 | 78.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cN0CmjCgp.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,欧式08年小区，精装两房，业主诚心出售，看房方便,345万,高楼层                                    (共23层)                                                                      | 2008年建 |                                2室1厅 | 56.94平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_uDChCqmuF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,次新小区傍山物业，电梯小高层低密度，户型罕见精装修,266万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 37.87平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_x7e7sKwXc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修,415.5万,低楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 61.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sHwJ6isVb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型方正实用，低总价 购买成本低。,158万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 36.7平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_xrHbCUwlN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年税费少，业主诚心出售，户型方正，南北通风,608万,高楼层                                    (共8层)                                                                      | 2000年建 |                                3室2厅 | 101.92平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_JaDcdpwJb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满5唯一  采光好 优质大3房  户型方正   居家刚需房,600万,中楼层                                    (共8层)                                                                      | 2000年建 |                                3室2厅 | 105平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IhDKFoJ7u.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖区 2015年新房朝南 向业主诚心出售！,739万,低楼层                                    (共32层)                                                                      | 2014年建 |                                3室2厅 | 108.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vr0PfI7Ja_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,高层采光好，安静空气清新，诚意出售,530万,高楼层                                    (共34层)                                                                      | 2003年建 |                                2室2厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_gdDQ8TZj6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖三面环三物业，安静居家 人车分流,1050万,低楼层                                    (共32层)                                                                      | 2012年建 |                                4室1厅 | 152.17平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-16bd8f00-8311-4167-8073-c7cebe960139.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型方正，朝南采光视野好，红本在手,480万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 74.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bXZgMC7x9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,端头位置 采光好 看房方便 业主诚心出售,145万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 34.31平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_nfIT6vHCO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 畔山雅宅 清晨鸟语花香 窗外绿意昂昂,560万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-275084b5-593a-4b20-8177-3bab3136447b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五小户型，生活配套完善，提前预约。看房方便,450万,高楼层                                    (共7层)                                                                      | 1992年建 |                                1室0厅 | 41.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PLemFMqdt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖区自住精装修三房  西南向无遮挡 满四年,550万,中楼层                                    (共32层)                                                                      | 2004年建 |                                3室1厅 | 75.63平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_jsKdZniQB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年 新政不需增值税，房子全明格局 精致小户型,177万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 34.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3t6MCWwPp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,即将满五，靠山物业， 总价低易上车 靠山安静必看好房,158万,高楼层                                    (共8层)                                                                      | 2001年建 |                                1室1厅 | 31.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qKp5XF63e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一红本在手，翠园 中 学 视野开阔可看围岭公园,410万,高楼层                                    (共17层)                                                                      | 2004年建 |                                1室1厅 | 35.37平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_arAGvrbny_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,南向三房，高楼层视野好，自住精装修，临地铁和公园,580万,高楼层                                    (共29层)                                                                      | 1995年建 |                                3室2厅 | 117.19平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_B8Mv6BYeI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山一期  精装修大三房  满两年,1200万,低楼层                                    (共32层)                                                                      | 2006年建 |                                3室1厅 | 147.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-fdb7db8c-c395-4e39-9d8c-b0f7d6fc4848.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，中高楼层，视野好，采光足，交通便利,245万,高楼层                                    (共26层)                                                                      | 1996年建 |                                2室1厅 | 48.61平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_5W2f0KV2Q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，税少，，交通方便，居家好房,439万,高楼层                                    (共8层)                                                                      | 1999年建 |                                2室2厅 | 83.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_U8MNPDGuN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年 税费少 装修保养的好，看房方便,400万,高楼层                                    (共23层)                                                                      | 2008年建 |                                2室1厅 | 67.24平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_M1dQx5YuO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经理推荐 满五年  地铁口精装小两房  高楼层视野好,265万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.93平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_eSfXiex9E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年优质好房，松泉公寓为数不多70年产权住宅。,510万,低楼层                                    (共8层)                                                                      | 1991年建 |                                2室1厅 | 57.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_DdRtBkaTy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修,293万,低楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sc4G8ifND_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装修复式.两层，可一层自己住另一层出租，满五年,450万,高楼层                                    (共7层)                                                                      | 1999年建 |                                3室2厅 | 100.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dZmtW8irK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山一期 业主急卖 店经理推荐 红本满五唯一,1450万,低楼层                                    (共32层)                                                                      | 2006年建 |                                5室2厅 | 192.69平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_PYsrUcnKt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖2009年小区 高层视野好 看房方便,285万,高楼层                                    (共32层)                                                                      | 2009年建 |                                1室1厅 | 46.62平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_YVqJxso9K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满两年  户型好，格局好，业主诚心出售，精装修,145万,中楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 34.76平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_gz8861wUo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年单本证，两个单位大平层，适宜大家庭,730万,高楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 173.59平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZXnupxg5y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,次新盘电梯小高层精装小2房，靠山安静，近华润万象汇,310万,低楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_nIFMF01T5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，红本在手税费低，靠山物业，安静宜居，诚心售,260万,高楼层                                    (共8层)                                                                      | 2002年建 |                                1室1厅 | 43.03平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_NvW0mMSrK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年 税费少  业主诚心卖 装修保养好,460万,低楼层                                    (共23层)                                                                      | 2008年建 |                                3室1厅 | 67.27平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_N2THUfA4j_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,正规3房精装自住，首任业主满五年唯一红本,480万,高楼层                                    (共8层)                                                                      | 2002年建 |                                3室2厅 | 78.64平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-9eccf299-b9d4-43f9-8117-244739f99869.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，视野很好，看水库，看房方便,1580万,高楼层                                    (共32层)                                                                      | 2006年建 |                                4室2厅 | 171.51平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-92d3ee82-4131-485b-8bfa-342c034fec2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山       花园小区     满二红本在手    南北朝向,1250万,高楼层                                    (共32层)                                                                      | 2012年建 |                                4室1厅 | 152.17平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-1aed6772-bb70-4782-9eef-6d26e2cda2ad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖靠山一房一厅 ，安静宜居 满五唯一,200万,中楼层                                    (共8层)                                                                      | 2001年建 |                                1室1厅 | 32.95平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-7d880fd5-e669-4a0b-84b5-7736bae549c5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,南北向居家大三房厅出阳台靠山物业安静宜居草铺站,800万,低楼层                                    (共8层)                                                                      | 1999年建 |                                3室1厅 | 101.09平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/test-5bb62eda-2535-409e-a252-96d84a76e48f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年红本在手，罗湖住宅小区、楼梯房， 居家舒适,650万,高楼层                                    (共7层)                                                                      | 1993年建 |                                3室2厅 | 88.69平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-7c59489a-7109-4cc2-83b6-e6e38a066eb2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五IBC边松泉山庄 水贝地铁 正规三房朝南双阳台红本,530万,高楼层                                    (共7层)                                                                      | 1997年建 |                                3室1厅 | 94.29平米                                  | 东南 南,http://ke-image.ljcdn.com/440300-inspection/prod-b944e46f-84da-4841-be7d-f16f0b292b14.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年精装修大4房带入户花园，业主诚心卖交通方便！,888万,高楼层                                    (共26层)                                                                      | 2008年建 |                                4室2厅 | 117.69平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-5774e417-8deb-40ba-8871-4bdea6693b9e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年免增值税，高层视野好，双大阳台，适宜居家,475万,高楼层                                    (共33层)                                                                      | 2009年建 |                                2室1厅 | 72.74平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-c3eaf494-f3b1-4eb8-80af-066c828c88c4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,【贝壳网推荐】：中间楼层，业主诚心放卖！,360万,高楼层                                    (共35层)                                                                      | 2004年建 |                                2室1厅 | 43.28平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/pc1_0I0BXOQs9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,松泉公寓 正规三房中间楼层 户型方正 满二,560万,中楼层                                    (共8层)                                                                      | 1992年建 |                                3室1厅 | 71.87平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zHP4w8UEY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,16年新小区，城市更新地带，，布心station,650万,中楼层                                    (共17层)                                                                      | 2016年建 |                                2室1厅 | 81.51平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/pc1_WkAsqd6Rx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五 易刚需过度 户型方正 精装修 拎包入住,250万,低楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 49.8平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/test-f2848e6c-2121-453d-be0a-978bec52bf7e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业必看好房,580万,低楼层                                    (共25层)                                                                      | 2002年建 |                                2室1厅 | 66.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_BCGyZfJTW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,业主自住，精装修保养好，满五唯一税费少人车分流宜居必看好房,455万,高楼层                                    (共32层)                                                                      | 2004年建 |                                2室1厅 | 61.19平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Esk4ba8v2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,厅出阳台户型，看小区花园，园林式小区,450万,高楼层                                    (共23层)                                                                      | 2002年建 |                                2室1厅 | 75.28平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_lC0rFy32K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,万科物业 少有的朝南向 ！满五正看小区水系必看好房,445万,中楼层                                    (共10层)                                                                      | 2003年建 |                                2室1厅 | 64.08平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HFUv8CSJb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五半山品质小区，采光通透，夜晚俯瞰罗湖夜景无遮挡必看好房,550万,高楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 79.96平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_mlpJj1O4l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一免增，业主诚心卖，高楼层视野佳，采光通风好必看好房,460万,高楼层                                    (共32层)                                                                      | 2004年建 |                                3室1厅 | 61.19平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_pTb9WnU0I_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年，户型方正大三房，业主诚心卖，近三号线,485万,中楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 100.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_AQpzXsbeB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园  朝南精装2房 满五唯一  税费少,765万,高楼层                                    (共12层)                                                                      | 1999年建 |                                2室1厅 | 76.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YDx2zc0pN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五唯一，楼层好，朝南向，户型方正2房必看好房,380万,中楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 55.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_FJtc6tukr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年，少量欠款，业主诚心出售。,720万,低楼层                                    (共25层)                                                                      | 2002年建 |                                4室1厅 | 61.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jtwmj8NPe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年红本，诚心卖  靠山物业   厅出阳台  安静居家,720万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_1UYbSMY8u_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,今日家园3房 满五年 布心地铁口 看房方便,690万,高楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 73.11平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_lE2JhBu8o_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓 小三房 满五唯一税费少 诚意出售,598万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 66.22平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ahihhNeX0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五唯一，红本在手，税费少，户型方正,760万,高楼层                                    (共8层)                                                                      | 1997年建 |                                3室1厅 | 81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WzY81cqGU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五红本，户型方正双阳台，靠山物业， 带翠园,640万,中楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fupHidXhy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝地铁口 顶楼复式 精装三房 有阳光房,680万,高楼层                                    (共31层)                                                                      | 2002年建 |                                3室2厅 | 126.36平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-96f780f7-ef59-4c43-beb4-ed62d4039542.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,金洲花园满五唯一 精装2房 顶楼花园 居住安静舒适,430万,高楼层                                    (共8层)                                                                      | 2003年建 |                                2室1厅 | 66.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_e585QGdgL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满5年，视野宽阔看围领山，罗湖全景，闹中取静宜居家必看好房,630万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 93.4平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Totjo3lSo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年业主自己赎楼 精装修税费少 带固定车位,880万,中楼层                                    (共34层)                                                                      | 2005年建 |                                3室2厅 | 115.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_1CdZYySYF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,君逸华府大户型两房在售，视野开阔，通风采光好,780万,中楼层                                    (共32层)                                                                      | 2002年建 |                                2室1厅 | 79.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qwzmK5byn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装 小复式1房 采光好适合住家  总价低  住宅性质,272万,低楼层                                    (共2层)                                                                      | 2002年建 |                                1室1厅 | 41.14平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_rKBsFEVYX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,颖隆大厦 2室1厅 南,250万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4tDonotzW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,麟腾苑 2室1厅 南新上,405万,中楼层                                    (共8层)                                                                      | 2001年建 |                                2室1厅 | 64.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Up7GhrK2y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子在中间楼层，实用面积大，朝西南向，精装修新上,485万,中楼层                                    (共7层)                                                                      | 1995年建 |                                2室2厅 | 75.44平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_moNYBWTFn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，满五唯一红本，翠园东晓，布心地铁口新上,790万,中楼层                                    (共25层)                                                                      | 2002年建 |                                4室1厅 | 61.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_h6K8Lpb3P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,太阳新城 3室1厅 西北新上,640万,中楼层                                    (共18层)                                                                      | 2002年建 |                                3室1厅 | 98.18平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_zs8fhckQn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,今日家园 2室1厅 南新上,600万,中楼层                                    (共25层)                                                                      | 2002年建 |                                2室1厅 | 61.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_875LW8YgD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,地铁口朝南正两房，业主诚心出售，满五税少新上,610万,中楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 76.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZYlOXJRnN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,山湖居 3室1厅 南新上,585万,中楼层                                    (共10层)                                                                      | 2003年建 |                                3室1厅 | 79.65平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Ur8WYfxZ3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,安静楼栋 南向 大两居 业主诚心出售,780万,中楼层                                    (共12层)                                                                      | 1999年建 |                                2室1厅 | 76.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_w5cmsDMF1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,松泉阁 2室1厅 北,520万,高楼层                                    (共20层)                                                                      | 2005年建 |                                2室1厅 | 65.84平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6HWdxaZc9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,碧岭华庭 3室1厅 北 东北,1100万,高楼层                                    (共34层)                                                                      | 2005年建 |                                3室1厅 | 123.58平米                                  | 北 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_hRsS7zThW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业,800万,低楼层                                    (共25层)                                                                      | 2002年建 |                                4室2厅 | 101平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_JAHbrXSHb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,87年的老社区  5，7号线  户型通透 精装修 3房2卫,730万,高楼层                                    (共7层)                                                                      | 1988年建 |                                3室2厅 | 90.71平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_S1bEPfFiB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房标准大三房 户型方正满五唯一红本在手 业主诚心卖,495万,中楼层                                    (共22层)                                                                      | 1997年建 |                                3室1厅 | 92.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ya9nzIgNV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五 费用低 看房方便 户型通透采光通风好 安静舒适,600万,低楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 81.98平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_HmRSv0TG6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,生态园林小区、高层大四房，南北通装修好,1680万,高楼层                                    (共32层)                                                                      | 2005年建 |                                4室2厅 | 192.63平米                                  | 南 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_Wi3me7rWs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，顶楼复式，楼梯房，公摊小，实用率高,506万,高楼层                                    (共7层)                                                                      | 1999年建 |                                4室1厅 | 132.2平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DSzaZtt60.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,万科物业，高楼层，居家安静，满五唯一,630万,中楼层                                    (共10层)                                                                      | 2003年建 |                                3室1厅 | 90.85平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_mxpdZvT6B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式精装、满五唯一红本、翠园东晓、布心地铁口,700万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 61.51平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_01foMKovP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
