20210126,大鹏新区,大鹏半岛,鹏海苑小区 1室1厅 南,138万,低楼层                                    (共6层)                                                                      | 2006年建 |                                1室1厅 | 48.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UmxWdz4oR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场精装修一房业主很诚心卖,105万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.92平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/test-3b03454e-46c3-4440-b1d0-2c624b89a846.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 承翰陶柏莉 三房 带装修  户型格局好,398万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.38平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_5Pln4MlAj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉  大三房 诚心卖 350万  看房钥匙在手,350万,中楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_caHgNqr9c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏佳兆业广场一房诚售，总价低费用少位置好！,150万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 56.95平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MUH7lRC2v_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,70年产权的住宅 红本在手 精装修小户型 看山看海景。,92万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_kfOxTT35J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,很实用的，阳台做多了一个书房，东南向，业主诚心出售,264万,中楼层                                    (共15层)                                                                      | 2009年建 |                                3室1厅 | 77.95平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-36421e63-739e-4c16-824b-12be0bd51b0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海，满五精装一房，采光好，环境好业主有心卖,99万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rTqf8kjL0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业大品牌，社区好，一房，适合小单身。,100万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 44.94平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_DVaoQML1d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 此房满五年 两房两厅 精装修,235万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 71.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_gIgW39iHA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业KPR广场 单间 精装修 总价低 拎包,98万,中楼层                                    (共18层)                                                                      | 2013年建 |                                1室1厅 | 45平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_9aiG3W9wA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉精装出售  业主自己,430万,低楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.42平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_qVGvzCG5f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房是毛坯，中高楼层，采光很好，朝南看山和别墅,515万,中楼层                                    (共31层)                                                                      | 2016年建 |                                4室2厅 | 123.08平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_gPWMBzjIi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型好，三房，南北通，看花园，视野好，无遮挡,420万,中楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 87.64平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8CiJrPRvF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大四房2厅2卫，朝南中层采光好，户型通透，住家舒适必看好房,390万,中楼层                                    (共17层)                                                                      | 2009年建 |                                4室2厅 | 141.81平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_Swp4CFlWu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景房，高层看海、大三房只要295万,320万,高楼层                                    (共16层)                                                                      | 2015年建 |                                3室2厅 | 104.68平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_4R2Ss9qgM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,深圳低洼70年产权住宅1房通燃气带阳台,125万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_3gx4d6pt0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场精装一房住宅出售,130万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 47.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-086b1237-b197-4210-83e7-a5436da0be54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场 大开间 住宅出售。,152万,高楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 47.08平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_dkTdgAzIB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业KPR 交通便利  旅游景区 环境幽静,115万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OCbbOZmoo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,陶柏莉花园  人大学府旁  全新毛坯出售,360万,低楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.41平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_pjAFYIpot_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海，全新毛坯房看别墅看海，环境好采光好,285万,低楼层                                    (共16层)                                                                      | 2015年建 |                                3室1厅 | 104.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_j8OjZcjKU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 朝南精装修两房 红本在手 满五年 环境舒适,233万,低楼层                                    (共16层)                                                                      | 2009年建 |                                2室2厅 | 67.4平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_lVxhEzDiS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉正规毛坯三房，看山看别墅，采光好环境好,370万,低楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3YKoFxgtn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,深圳市大鹏新区半山海海景房，舒适居住。,125万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_KPasINTA7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,深圳市大鹏新区半山海海景公寓，在家里都能看海景,120万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-564c2da1-3748-4c81-b757-04c79bad5f99.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,深圳市大鹏新区半山海海景房，舒适居住。,120万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 37平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OsNVEf0Kv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰海语山林，满五精装四房，很少有在卖楼层好采光好,500万,低楼层                                    (共17层)                                                                      | 2009年建 |                                4室2厅 | 141.82平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_jfQW9XRan_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,看海  视野好  带装修 家私电器齐全  拎包入住,130万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_oi8OCR5Tk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 看花园三房 环境幽静 业主诚售 红本在手,290万,中楼层                                    (共17层)                                                                      | 2009年建 |                                3室1厅 | 89.19平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_bKPHx6cXl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 少有毛坯大户型 朝南看小区绿化,500万,高楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 141.54平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_v4BN9E8A8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,陶柏莉一期标准4房 精装修 红本在手,628万,高楼层                                    (共31层)                                                                      | 2016年建 |                                4室2厅 | 123.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_q6DTfBCld_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,陶柏莉一期4房 好户型 前后无遮挡  2梯3户  高楼层,520万,高楼层                                    (共31层)                                                                      | 2016年建 |                                4室2厅 | 123.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_prTqEHWEs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,万科物业，小区自带私家沙滩，住家舒适,260万,中楼层                                    (共18层)                                                                  1室1厅 | 38.43平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_lSha7y3zA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 大阳台，户型方正 70年住宅 带燃气,120万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/pc1_Y3FCUm2Px_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 土洋绿化社区 看山和海景观,95万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_3cizZKs2F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,源自大鹏半岛的世外桃源，美宅启幕,285万,中楼层                                    (共16层)                                                                      | 2015年建 |                                3室2厅 | 86平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-e20ea0ea-2a7a-4d4a-9bf6-8d45e63f1ae4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,业主诚心出售 土洋精装修一房 休闲度假好去处,110万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-6468a282-041f-4a29-87bc-47a608da829b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,万科十七英里，精装一房，看山看海，环境好，采光好,190万,低楼层                                    (共18层)                                                                      | 2006年建 |                                1室0厅 | 39.53平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-4c9fab22-b787-4df2-8e72-37644be594c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海精装大2房 朝南看海 总价低 户型好,360万,高楼层                                    (共16层)                                                                      | 2015年建 |                                2室1厅 | 86.2平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-11937647-65a5-4bba-ad4f-a08d1f90a6d6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,房子格局实用，精装修，出租住皆可，配套设施齐,125万,中楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.92平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-720dd979-910a-4cf9-9fde-8f5364e88588.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业公寓带租约出售，一手业主,100万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.71平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-82b6c7bb-97e8-449d-b976-8c83a54bba8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 佳兆业广场 住宅单间出售,168万,低楼层                                    (共16层)                                                                      | 2013年建 |                                1室0厅 | 50平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-09434d25-75bf-4449-a39d-b27b7b2e5d4e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,单间公寓高楼层无遮挡，看观音山,158万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 45.33平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-acb0cd80-d37e-4edb-9d50-07319cf7c757.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业单身公寓精装修出售 看房方便,108万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.74平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-f7ed2603-455c-4c23-b0cc-8fde45714ffc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,精装修出售 单价低  红本在手 诚意可协商,140万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-2efc907b-2cbf-4ddc-8c01-1190fcef1ad6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,住宅 此房是住宅性质。 民水民电,140万,高楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 47平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_hdP5lh1AL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区金众云山栖  积大实用率大 面积86平,420万,中楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 86.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Q16G8s0Zv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,佳兆业单间出售，走过路过不要错过,125万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.71平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-aac9330c-d726-46f2-aeb7-f1d38e28e28d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 一房  看山看海 新小区,94万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-92241f29-bf98-4518-908d-f00090838a55.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海精装修一房总价低户型好费用少！,100万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.34平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-aabdebfe-22ba-49d6-bbb9-b6e5b3175bd6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型方正实用，格局好，精装修，看房方便！,129.8万,高楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 50.1平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-7fe54372-42ec-468c-8617-b4ec4dc23879.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,龙岗大鹏半岛山景公寓，稀有三房户型，山海景观俱佳,330万,中楼层                                    (共18层)                                                                      | 2013年建 |                                3室2厅 | 79.18平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-a7e6fce0-85f6-40ab-8f40-9f9c39d850e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型格局实用，精装修拎包住，看房提前预约,150万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室1厅 | 44.71平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-52cbd79c-5233-4995-90a9-96ad763ef231.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景小区 总价低 带精装 可托管给酒店 也可以自住,98万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.45平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-084d0c95-0995-4d4c-b1d9-9beb808ff28d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型格局实用，精装修拎包入住，诚意出售,150万,低楼层                                    (共17层)                                                                      | 2013年建 |                                2室2厅 | 47.15平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-3524d76a-466d-432d-8cda-42d9f0ba27e0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景小区 总价低 带精装  70年产权住宅,100万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-eb6528e0-692c-4052-a651-49e6bc30ee7e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏山海美宅，依山看海美不胜收,115万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.34平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/test-76a8ec37-e59d-4305-a5e1-497868e8d7f0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 葵涌大社区安静居住 好采光 满两年无增值税,250万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 70.24平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-1dcf686c-01ec-4644-99a1-fdab8ba033d2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 77.9平三房  业主诚心卖 看房方便,285万,高楼层                                    (共15层)                                                                      | 2009年建 |                                3室1厅 | 77.95平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/4a3bbd4c-be91-4779-8212-0f3764ac13ac_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏KPR佳兆业广场公寓1房低层光线无遮挡,100万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.74平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-cfdb8985-0024-42f2-b033-dafed5061aef.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海花园精装修两房总价低费用少户型好,210万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室2厅 | 64.31平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-1638eb9b-d936-4eb9-ab89-d3242def4533.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,靠山海景，舒适选择！低门槛，品质小区。,100万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-30a2a1f7-1fba-43fc-b98c-47715410b711.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海复式大3房，总价低费用少看山看海！必看好房,285万,低楼层                                    (共16层)                                                                      | 2015年建 |                                3室2厅 | 104.68平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-a29af8d5-d3ca-46a9-a016-ac843f33b1d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,住宅性质 ，，民水民电 。欢迎咨询,147万,高楼层                                    (共16层)                                                                      | 2013年建 |                                1室1厅 | 46.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_firEtHWMA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,龙岭花园 3室2厅 东南,205万,高楼层                                    (共4层)                                                                  3室2厅 | 75.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_e89uuLFAY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,全新毛坯 花园小区 户型方正 朝南 可看风景,358万,低楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 88.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qpZZx1j0A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房业主诚心出售，朝南户型，采光好通风好，大社区,320万,中楼层                                    (共16层)                                                                      | 2009年建 |                                3室2厅 | 87.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_XNJTHbAN8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,户型方正 采光充足 视野好，小区景观好 绿化面积大必看好房,90万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 35.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xST3OEnFF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 璞岸  三房  视野无遮挡 看房钥匙在手,260万,低楼层                                    (共16层)                                                                      | 2014年建 |                                3室1厅 | 88.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_J8EJ7nbOu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,南澳湾花园 3室1厅 东南,320万,高楼层                                    (共8层)                                                                  3室1厅 | 163.12平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CtF4ypEao.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线观海景 户型方正 采光充足 视野好,320万,中楼层                                    (共14层)                                                                      | 2015年建 |                                3室1厅 | 77.83平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-ac30811e-8295-4921-bb79-7fb68ff12275.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场 1室1厅 东南,80万,高楼层                                    (共17层)                                                                  1室1厅 | 45.33平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_hT4UFntnr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖精装修4房  满五唯一 税费少 看房方便,470万,高楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 88.56平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_BDPkBMkIN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 4室2厅 南 北,1480万,低楼层                                    (共3层)                                                                      | 2016年建 |                                4室2厅 | 150.07平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_hWyJITjzX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,PURE33璞岸 3室2厅 南,300万,低楼层                                    (共23层)                                                                      | 2015年建 |                                3室2厅 | 81.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UPbezrIPJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 4室1厅 东南,420万,中楼层                                    (共18层)                                                                      | 2009年建 |                                4室1厅 | 141.54平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CKMIaUnb5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满五年，红本在手，免增值税，360度无死角海景,450万,中楼层                                    (共5层)                                                                  3室2厅 | 92.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3jJW1hv4x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖，全新毛坯房上下五层，采光好，业主有心卖,1100万,低楼层                                    (共1层)                                                                      | 2015年建 |                                5室2厅 | 189.22平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_psJu7pgih_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大社区 远离闹市 安静舒适 上下四层 带院子 有拓展,980万,低楼层                                    (共1层)                                                                      | 2015年建 |                                5室2厅 | 189.22平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uzs7Rfnba_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 3室2厅 南 北,420万,中楼层                                    (共15层)                                                                  3室2厅 | 89.1平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lJjgkhJ7B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖，全新毛坯别墅带花园，看房方便业主有心卖,1180万,低楼层                                    (共1层)                                                                      | 2015年建 |                                5室2厅 | 191.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YG7yxGw37_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满二年，联排别墅，纯别墅小区，随时签约,1480万,低楼层                                    (共5层)                                                                  7室3厅 | 221.99平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ebIWo7gbD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房是单房 环境优美，自带大型购物综合体,135万,中楼层                                    (共18层)                                                                      | 2013年建 |                                1室1厅 | 44.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_r1LZw75FG.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
