20210126,福田区,上下沙,高楼层正规电梯两房，使用率高，采光棒必看好房,498万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 54.04平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/453b7da7-1aad-408b-a690-d15b314ea9d5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 花园式管理 地段优越必看好房,440万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-5036196a-163d-4741-95ba-00c61060a8ed.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口精装修公寓，出入便利，24h保安执勤,640万,中楼层                                    (共30层)                                                                      | 2014年建 |                                3室2厅 | 79.6平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-ae287ae2-f5f3-4fed-a28a-3de4eb7ae602.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层居家型公寓，红本在手，两套可打包出售,580万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室2厅 | 67.22平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-1c67f0b6-e1fe-4130-b6b8-e69a0c3b8a1a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满二年红本在手看房子方便景观好,1500万,高楼层                                    (共45层)                                                                      | 2007年建 |                                5室1厅 | 167.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/00972f15-8a7d-4e0d-bf66-ca33f5315d88_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,全新奢华装修，高层看红树林深圳湾海景，视野特棒,1450万,高楼层                                    (共46层)                                                                      | 2007年建 |                                4室2厅 | 163.79平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-8238e1db-45aa-4bec-b818-05673b1efc41.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,碧海红树园 诚心出售 红本税少,790万,中楼层                                    (共32层)                                                                      | 2004年建 |                                2室2厅 | 77.25平米                                  | 西 东,http://ke-image.ljcdn.com/110000-inspection/808a365e-4e8c-4a86-b1a8-4400725076be_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五年，红本在手，优质两房，诚意出售,490万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 67.53平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-3b7f8628-d747-4568-b384-16eca7427069.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,小区只有25套，红本在手，高层海景三房,680万,中楼层                                    (共30层)                                                                      | 2014年建 |                                3室1厅 | 79.6平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/f4ffda09-cdff-45a5-a466-f875b6c2a7da_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红树林公园旁，高层海景四房，业主诚心卖,1650万,高楼层                                    (共33层)                                                                      | 2003年建 |                                4室2厅 | 156.43平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/573baa20-b8fd-4551-9511-931f14b760ca_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,中楼层，通风采光好，精装修，舒适简 南向,550万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 71.64平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/e82f81de-a43e-4a1b-9292-d791aa4349ab_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,房子满五唯一，超高层看海景，视野开阔,2100万,中楼层                                    (共33层)                                                                      | 2003年建 |                                5室1厅 | 210.72平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-bcf2194f-bb27-4ef4-ae60-2b19eb75e134.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五唯一 红本在手 地铁口物业 深圳湾视野,480万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 42.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c179216f-bff0-4176-a844-279350086401_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,住家温馨，格局保养很好，方正大开间，采光好。新上,270万,中楼层                                    (共9层)                                                                      | 2003年建 |                                1室0厅 | 28.12平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9b3607e7-69fb-4034-8862-31c663633371_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,超高楼， 无遮挡，看山，看海，看湿地，深圳湾烟花房新上,1500万,高楼层                                    (共46层)                                                                      | 2007年建 |                                3室2厅 | 130.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/1044a288-766f-4288-8346-7505580523aa_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科金域蓝湾一期 5室1厅 南,2500万,低楼层                                    (共33层)                                                                      | 2003年建 |                                5室1厅 | 261.16平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/e45c4bf5-e763-4452-9b7d-2255ddf5b463_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 1室1厅 东北,300万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.86平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/7af373d1-8043-4aef-ab89-b4677f61239e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五年，红本，税费少，带固定车位出售,1480万,中楼层                                    (共33层)                                                                      | 2002年建 |                                5室2厅 | 133.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fs1QyFJvo.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五年红本在手，新装修，高楼层海景视野，空置钥匙房必看好房,2600万,高楼层                                    (共45层)                                                                      | 2014年建 |                                5室2厅 | 226.81平米                                  | 东南 南 西南,http://ke-image.ljcdn.com/110000-inspection/bf5b7169-e20a-48b7-946c-34a408d7ecf2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,2014年次新房电梯刷卡入户+通燃气带阳台+外地人可以买,460万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/2aa651de-8a32-41cb-9ca1-1c8061904cee_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,房子是户型方正的1房，房子采光好，诚心出售,330万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.15平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/ddf9743e-e0c7-4f2f-a8a2-6e242c4c2320_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,碧海红树园 通风视野好 业主诚心出售,1500万,低楼层                                    (共33层)                                                                      | 2003年建 |                                4室1厅 | 156.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/cd984b87-7bd0-4f44-9355-d71d30625b64_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,碧海红树园 4室1厅 东南,1560万,高楼层                                    (共33层)                                                                      | 2003年建 |                                4室1厅 | 157.34平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/ac0c8e85-edae-4752-a430-34a7900cd64f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主诚心出售，价格实诚，正规两房，车公庙下沙商圈必看好房,486万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/efc1129b-c5e0-43d6-adec-f4fa42b28864_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 南北通透 楼层好 户型好 双阳台,780万,中楼层                                    (共7层)                                                                      | 1998年建 |                                3室2厅 | 94.33平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_87jixQ79e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,车公庙下沙商圈，精装中高层五房，业主诚心出售必看好房,2520万,中楼层                                    (共45层)                                                                      | 2014年建 |                                5室1厅 | 234.45平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_qfLZgjWHa_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,大阳台看海景，精装实用四房，满五唯一免个税,1620万,低楼层                                    (共33层)                                                                      | 2003年建 |                                4室1厅 | 170.56平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/d90e3f3d-df0b-4d50-917e-9540d8997eae_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,经典复式四房   看海景  满五年唯一税费少,1850万,中楼层                                    (共32层)                                                                      | 2001年建 |                                4室2厅 | 213.26平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/26a6da2b-ce79-46eb-a4ff-fa6d213cc4ac_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红树林海景大社区，超高层海景房，业主诚心出售,1900万,高楼层                                    (共33层)                                                                      | 2003年建 |                                4室2厅 | 191.59平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9d575af8-4955-4540-be3f-91477fe5e805_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房满五唯一，装修保养好，业主诚心卖。,975万,低楼层                                    (共33层)                                                                      | 2002年建 |                                3室1厅 | 113.64平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/56522d75-6b0e-47dd-b43a-c599b6ec823e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红本费用低，带租约出售，精装修。,460万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室2厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/0542d1f5-6afc-43f7-86d5-4f21b3ed1229_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高楼层，视野开阔无遮挡，南向海景房！！！,1300万,高楼层                                    (共33层)                                                                      | 2003年建 |                                3室1厅 | 103.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/64cafb91-9156-424e-9a0c-0bded7176d1d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主诚心出售 楼下就是地铁口 租金好,405万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 38.83平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/2f011786-1f71-48af-8bd4-a4961ede92fb_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五年 精装修 高层采光不错 看海景和园景 业主诚心卖,1199万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室2厅 | 122.32平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/8557b6bb-ee2b-4857-ab0c-09ab49b32716_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房装修精美，高层看海景，业主诚心卖房,1280万,高楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 108.93平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/da11c4a7-edc0-4dea-9366-faccd62d8862_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,福田区海景房，大社区，通透三房，满五年,1300万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室2厅 | 137.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/916bbc67-0ab0-4025-aa3e-bd80ca028798_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,房子满五年 非唯一 装修保养好 业主诚心卖,1500万,高楼层                                    (共32层)                                                                      | 2004年建 |                                4室1厅 | 167.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/19f43311-56ec-4e36-b73c-84102bbb093e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,C1栋高楼层东北向，视野好，业主诚信出售。必看好房,305万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.19平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/2d22e639-7342-438a-953c-0aaa64174713_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 大型综合体 地段优越,300万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.68平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/c4d591d3-4086-42a6-af0f-276d83372b15_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满了五年，自住保养好，红本在手！,1018万,中楼层                                    (共32层)                                                                      | 2004年建 |                                3室1厅 | 99.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/387e7ce7-1fc5-4e13-a89d-ed1d482cfb4f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,大金沙红树家邻方正两房 多一个露台,500万,低楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 53.55平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/6de5ed91-8eef-42c9-8571-937839d8f9aa_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 2室1厅 东北,515万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.83平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/d6e4d1a5-cb22-4326-9024-9382153c4256_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五！车公庙下沙站商圈，精装两房！业主诚心卖！！,445万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/36d77822-c9c6-471f-a1df-e39e5cf0f95a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,户型方正带阳台、使用率高总价低,207万,高楼层                                    (共9层)                                                                      | 2003年建 |                                1室0厅 | 21.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/3bfded75-8b03-43ce-922c-1ff34fba84d2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主包增值税 精装修 朝向安静   有大平台使用必看好房,378万,低楼层                                    (共9层)                                                                      | 2003年建 |                                1室1厅 | 37.94平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/42d96c65-de93-4e94-8b22-10b6e487fa34_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙精装单间，红本，带租约，户型实用,253万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室0厅 | 33.38平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/5b933b6e-3301-4633-ad04-4ee4f1a25381_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,本房为精装修单间，车位充足，通燃气带阳台,256万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室0厅 | 33.46平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/769eaac2-4183-4d06-9b67-e804ad50aba9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,滨河时代高楼层，南向海景房保养好，通风采光好精装修,325万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.39平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/30609e90-e19b-48af-86da-e958746add70_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科高层看海景四房房，视野开阔，风景宜人,1849万,高楼层                                    (共33层)                                                                      | 2003年建 |                                4室2厅 | 190.8平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/9f1dedec-8512-4acc-8f26-817e390c7ab2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 2室1厅 西南,690万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 78.71平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/6788a14a-4c07-4ac9-9d10-113f5061fc9c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科金域蓝湾二期  精装大3房  看海景 诚心出售,1400万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 149.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/8022e5af-9503-4328-b5bc-df527cf904bf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科金域蓝湾一期  精装海景5房 带固定车位,1900万,低楼层                                    (共33层)                                                                      | 2003年建 |                                5室1厅 | 210.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/4cbf9723-d61f-40d5-8dfd-2a435058a280_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房满5年，税费少； 金地物业，车位充足，高绿化,1200万,低楼层                                    (共25层)                                                                      | 2001年建 |                                3室1厅 | 128.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/403ccf4c-448c-438f-802f-e4c8287c9741_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科经典跃式三房 高层看海景  泰式园林住家舒适,1300万,高楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 149.18平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9018b7c4-9a74-47ce-a1a6-5f83d294c773_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层采光充足，看福田CBD景观，坐享红树林公园配套,1180万,高楼层                                    (共32层)                                                                      | 2004年建 |                                3室1厅 | 118.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/ef14f591-bb12-48af-904d-1b76a884520c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 大型综合体 地段优越,340万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.15平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/42eac599-8270-4c2e-9940-a50544cd34a2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层一线海景，满五年红本，业主诚售，等你品鉴。,3500万,高楼层                                    (共33层)                                                                      | 2004年建 |                                7室3厅 | 424.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f820c197-22fb-4e18-bbfd-6d2a707279f2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基很诚心卖，房子保养好，价格好谈,330万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.01平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/7eaca8d9-d736-4a8c-b385-5f6c4d037e34_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,精装修，保养好，家私齐全，诚心出售,365万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/81a1c289-fbd4-4382-a60b-a655f81aa3fa_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房满四年，户型通透，格局好方正，业主诚心出售,520万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室2厅 | 67.31平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/b3e0d35d-5c11-424e-9eeb-1a47123a3f33_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,精装修 可看海  视野好 交通便利 总价低,250万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室0厅 | 33.22平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/b1b2e755-fead-4ef7-9d45-46c8bdf53bd4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房高层看海，带大露台，业主诚心出售。,2500万,高楼层                                    (共46层)                                                                      | 2007年建 |                                5室2厅 | 248.81平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/22ea4616-c992-4356-bebb-d3bc51d0ba70_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,面朝大海春暖花开，万科物业住家舒服满五年,1300万,中楼层                                    (共34层)                                                                      | 2003年建 |                                4室1厅 | 149.5平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/dea8a9d2-ba75-487f-aec8-ef5c218add6b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科物业，红树林生态公园，品质小区必看好房,1050万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室2厅 | 115.33平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/aae15f24-1a4f-48ae-ab0d-555e246b7b80_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红树家邻，精装朝南方正两房，业主诚心出售必看好房,485万,低楼层                                    (共7层)                                                                      | 2003年建 |                                2室1厅 | 55.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/e2ab19cc-05a3-4e9e-b359-eac9e0409d4c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,福田片区精装房子，小区新，配套齐,360万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/7b759869-a78a-4c97-8f9b-b66854b09654_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红本过户，拎包入住，诚心出售！,2480万,低楼层                                    (共45层)                                                                      | 2014年建 |                                5室2厅 | 224.87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/314acba7-238c-45c6-b15f-a03496436be6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,朝南看海，租金较高，业主诚心放卖，价格比较合理。,520万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.75平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_zygeGbCzH_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,大金沙地铁口物业，通燃气带阳台，户型方正红本在手,290万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.86平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/c62a3ed4-0b04-4655-9e1d-4dda6ab26fca_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基精装一房一厅，业主诚心出售,295万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.86平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_tBLJzBKqx_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 ，5房1厅，高楼层,2680万,高楼层                                    (共45层)                                                                      | 2014年建 |                                5室1厅 | 234.45平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-8af26ec5-d9c7-470c-95e2-d2e02320693d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层朝南看海景，安静适合居家 红本在手,1150万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室2厅 | 122.22平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-e56e5f59-15fd-4ed8-b547-99cbd9fc5107.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基东南朝向单间，通风采光视野好！！！,260万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室0厅 | 33.3平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/741502aa-ec09-4690-b21b-801b1e5c5d2e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科护航，可观海上明月，可赏落日余晖。,1480万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室2厅 | 156.43平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-9ce8dcd8-6691-4983-aa28-16e987c0cf80.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,房子四年，红本在手，小区安静舒适。必看好房,243万,中楼层                                    (共7层)                                                                      | 1993年建 |                                1室1厅 | 36.5平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-5088d4cc-a2c0-4293-bff2-6484b922782c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,西南向 高楼层海景房 给你一个温馨舒适的家,355万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.04平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-1c2d0171-90c0-4700-a6f7-c986737c35fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 精装一房一厅 不容错过 我和业主*熟悉,308万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.68平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/f7f4d5e2-8f91-4a0e-8c22-bbe6f3e1c62d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业，CBD地段，上下两层，看海景，视野开阔,1150万,高楼层                                    (共28层)                                                                      | 2005年建 |                                3室1厅 | 117.41平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-50681162-e224-432a-84ab-f190a038427d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,出则繁华，入则宁静！万科别墅，朝南看泳池视野,2400万,低楼层                                    (共33层)                                                                      | 2003年建 |                                7室1厅 | 261.12平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-eab9278b-161b-4450-8ec0-f761ad8256e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科大户型，安静看花园，小区环境优美，居家舒适。,1480万,低楼层                                    (共33层)                                                                      | 2003年建 |                                4室2厅 | 170.99平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-ce5eb02f-6060-48d9-b895-3ebd204f4369.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高楼层，景观好客厅是大的落地窗、,2150万,高楼层                                    (共33层)                                                                      | 2003年建 |                                5室1厅 | 213.11平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-5fd85b85-9a84-4e51-bbb2-e32aea757332.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园顶楼大复式，带天台花园，看城市全景,1499万,高楼层                                    (共29层)                                                                      | 2005年建 |                                6室1厅 | 108.66平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/de30b9f7-9f36-4f44-800a-e0bcde289896_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花园式大社区，车位充足，带顶楼露台，,1000万,高楼层                                    (共32层)                                                                      | 2004年建 |                                2室2厅 | 101.41平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/25ba8806-b1ed-4ff6-993f-32773e0818f3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
