20210126,福田区,梅林,房子满五唯一，精装修，地铁口物业，宜居，采光好。必看好房,248万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室1厅 | 35.14平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_0kSwver7Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心出售，看房方便，满五唯一。,1100万,低楼层                                    (共17层)                                                                      | 1999年建 |                                4室1厅 | 148平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_c6LBuCWDY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村 118平4房2卫 红本满五唯一  眺望公园山景,1200万,高楼层                                    (共20层)                                                                      | 2000年建 |                                4室2厅 | 118.15平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/feece42b-6fc0-4534-bc88-d871af39e162_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年红本在手，南北通透双阳台，看小区花园看山景。必看好房,1030万,中楼层                                    (共24层)                                                                      | 2005年建 |                                3室2厅 | 107.4平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_h0QWFZkfc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,新装修2房，双阳台，看CBD夜景！,800万,高楼层                                    (共31层)                                                                      | 2008年建 |                                2室1厅 | 74.22平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_oJLdRvulY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,23平入户加20平双阳台，安静看花园，可分开做两户,1498万,中楼层                                    (共24层)                                                                      | 2005年建 |                                4室2厅 | 155.39平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_RtHsrc10B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一，精装电梯一房，看房很方便,270万,中楼层                                    (共12层)                                                                      | 2000年建 |                                1室1厅 | 33.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fqr5xyhJy.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房满五年 交易成本低 三房两卫  朝北高楼层视野好,850万,高楼层                                    (共31层)                                                                      | 2008年建 |                                4室2厅 | 88.75平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ILAF35K7m_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,红本在手 满5年 电梯房 厅出阳台必看好房,420万,低楼层                                    (共18层)                                                                      | 2006年建 |                                1室1厅 | 43.74平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_067ZusHSu.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口物业，2008年小区，70年产权走半层等于三层,670万,中楼层                                    (共8层)                                                                      | 2008年建 |                                2室1厅 | 79.16平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9Xm8lQ9Gx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口  南向两房 花园社区 业主诚售   实用面积高,625万,低楼层                                    (共8层)                                                                      | 2005年建 |                                2室2厅 | 80.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_aeBpLmsZc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,东南向一房一厅，满五唯一，红本在手税少,466万,低楼层                                    (共16层)                                                                      | 2005年建 |                                1室1厅 | 43.63平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_CwwK7x9Zq.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双龙抱珠罕见户型 满五红本在手,1600万,中楼层                                    (共22层)                                                                      | 2005年建 |                                5室2厅 | 154.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_j1ygwRblm.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房满五年，看小区，，钻石厅，保养好，采光好。,850万,低楼层                                    (共18层)                                                                      | 2003年建 |                                3室1厅 | 89.57平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_KheEHnGhs.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口物业，小区配套成熟，正两房厅出大阳台必看好房,630万,低楼层                                    (共16层)                                                                      | 2005年建 |                                2室1厅 | 66.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_QZRGJQbl9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,合旺阁精装两房一厅，业主诚心卖，可拎包入住,375万,高楼层                                    (共7层)                                                                      | 1999年建 |                                2室1厅 | 49.81平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/bbe4434f-6305-4ce9-b946-e35789c22daf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,绿景虹湾 方正两房 德系精装  保养很好 方便看有密码,750万,中楼层                                    (共46层)                                                                      | 2015年建 |                                2室2厅 | 62.32平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_jjtC78GRS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子已经满五年，目前红本在手，看房方便,320万,中楼层                                    (共31层)                                                                      | 2003年建 |                                1室1厅 | 35.08平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_sUXkx9n9b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧云天 方正大两房 朝南 红本满五唯一,680万,低楼层                                    (共12层)                                                                      | 1999年建 |                                2室2厅 | 78.28平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qCK5NJNyQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林 电梯单间 业主诚心出售,325万,高楼层                                    (共31层)                                                                      | 2003年建 |                                1室0厅 | 33平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_Pd5kUMQGH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,正规一居室，北向大阳台，看房方便。,280万,高楼层                                    (共8层)                                                                      | 1997年建 |                                1室1厅 | 34.77平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FFclyWP8o_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,公园 地铁口 三房两卫 户型方正 朝南 看小区花园,850万,中楼层                                    (共12层)                                                                      | 2001年建 |                                3室1厅 | 94.72平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-fbf56e5c-abd3-47f9-814b-f87583f5728f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一，中间楼层，双地铁口园林社区,850万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 94.72平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/test-67acfe25-fd86-43de-9231-43da5fc428ae.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,全小区少有房源，满五唯一红本在手，精致装修必看好房,335万,高楼层                                    (共16层)                                                                      | 2008年建 |                                2室1厅 | 35.28平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_DqMxHY4nB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,凯丰花园二期 3室1厅 南必看好房,800万,高楼层                                    (共18层)                                                                      | 2006年建 |                                3室1厅 | 86.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4IBDfGvsY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房满五年，3+1户型，看山看水库，钻石厅，保养好。,880万,低楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 97.06平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_ylU0RQBGw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口，满五唯一，高层电梯大单间，南向带阳台必看好房,318万,高楼层                                    (共31层)                                                                      | 2003年建 |                                1室0厅 | 33.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_G046nTDjH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年，唯一，红本在手，产权好，诚心出售！必看好房,980万,高楼层                                    (共18层)                                                                      | 2005年建 |                                4室2厅 | 106.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YckKPRsDn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,虹湾三房 一手业主，价格实惠，空房状态、诚心出售,1100万,中楼层                                    (共43层)                                                                      | 2015年建 |                                3室2厅 | 88.01平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-fb1fb7a3-5bfb-4727-b880-97502914a055.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁物业 户型方正实用正南向 业主诚心出售,566万,高楼层                                    (共6层)                                                                      | 1989年建 |                                3室1厅 | 81.73平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oYhmrLQ8F.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房满五唯一，南北对流格局，楼层好，视野好。,880万,高楼层                                    (共9层)                                                                      | 2003年建 |                                3室2厅 | 84.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hpJN73f4k_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,荔园阁二期满五唯一标准1房1厅,418万,高楼层                                    (共12层)                                                                      | 2001年建 |                                1室1厅 | 39.41平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zKeXAjcCp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,小户型，小区配套齐全，双地铁，户型方正，装修好。,430万,高楼层                                    (共16层)                                                                      | 2005年建 |                                1室1厅 | 41平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qUS2gYS44_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,山水居 拓展20平露台 自住精装修 南向看公园必看好房,810万,低楼层                                    (共10层)                                                                      | 2001年建 |                                3室1厅 | 83.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/c924adf8-956f-4412-b263-22ad904bb1db_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,水木澜山 满五红本 税费少 交易成本低 南向,860万,低楼层                                    (共34层)                                                                      | 2008年建 |                                3室1厅 | 87.64平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_y43d41T88_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一 、门口地铁、邻居CBD卓 越汇购物中 心、好房,610万,中楼层                                    (共8层)                                                                      | 1993年建 |                                2室2厅 | 73.99平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vTpjsgGR9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,水木澜山居 2室1厅 西南,780万,中楼层                                    (共31层)                                                                      | 2008年建 |                                2室1厅 | 76.13平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_JuNKbDsiI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,蓝宝石名庭 1室0厅 东南,210万,高楼层                                    (共12层)                                                                      | 2003年建 |                                1室0厅 | 24.87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_LoqLiUpYg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口，绿景物业，朝南向，业主诚心卖必看好房,1020万,中楼层                                    (共44层)                                                                      | 2015年建 |                                3室2厅 | 87.02平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_O5fCeYmur_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口花园式社区 标准一房一厅 诚意出售,440万,中楼层                                    (共11层)                                                                      | 2005年建 |                                1室1厅 | 40.57平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/0969bfea-c489-4cf4-a800-a757788aee8f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林公园旁  精装修  实用大三房  两个卫生间,988万,中楼层                                    (共11层)                                                                      | 2002年建 |                                3室2厅 | 101.26平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_WddBQucYE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华府馨居精装两房 多9平米 诚心出售 户型方正,715万,中楼层                                    (共11层)                                                                      | 2005年建 |                                2室2厅 | 61平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pFsRvHs07.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,尚书苑通透格局两房，红五一产权，楼层好,615万,中楼层                                    (共22层)                                                                      | 2005年建 |                                2室1厅 | 62.12平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/e6341da1-0824-4897-805a-887b20450178_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,户型方正，满五唯一，税费少，业主诚心出售！,389万,高楼层                                    (共7层)                                                                      | 1999年建 |                                1室1厅 | 41.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HMtCAEWDf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福兴花园 南向电梯三房 采光好 满五红本 看房提前约,790万,中楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 89.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7m6HK12NX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,稀有一房，户型方正。业主诚心出售，生活配套齐全必看好房,255万,低楼层                                    (共31层)                                                                      | 2003年建 |                                1室0厅 | 33.35平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_KmhkWsoSl.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,先科花园一房一厅交通方便诚心出售税费各付,265万,中楼层                                    (共7层)                                                                      | 1996年建 |                                1室1厅 | 38.91平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-dbaa926c-f66b-47ac-baf4-af8d7f8f5e49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一红本在手，交易税费少，可预约看房！必看好房,520万,中楼层                                    (共8层)                                                                      | 1999年建 |                                2室2厅 | 63.8平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_gYAabd3NE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年精装红本在手 户型方正南北通 端头位视野开阔必看好房,868万,中楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 98.49平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GqU4J4F34.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,迷你新居户型好总价低高楼层精装修必看好房,208万,高楼层                                    (共16层)                                                                      | 2008年建 |                                1室0厅 | 26.65平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_NtCG28cqG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房红本满五唯一，税费少，业主自住，环境优美，,860万,低楼层                                    (共18层)                                                                      | 2003年建 |                                4室2厅 | 97.06平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_cr02GOREx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,结构方正,实用率高,大3房出售.必看好房,480万,高楼层                                    (共8层)                                                                      | 1990年建 |                                3室1厅 | 100.32平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_jiK8XSXAb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,产权优质，满五唯一，业主诚心换房。,930万,中楼层                                    (共17层)                                                                      | 2005年建 |                                3室2厅 | 91.24平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_hkl8VGBmQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,翰岭院 2室2厅 东南 南,760万,低楼层                                    (共24层)                                                                      | 2005年建 |                                2室2厅 | 77.35平米                                  | 东南 南,http://ke-image.ljcdn.com/440300-inspection/pc1_wLms9xfOX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村四房，近看园林远看山，东卧看日出,1029.8万,中楼层                                    (共20层)                                                                      | 2000年建 |                                4室2厅 | 118.15平米                                  | 东 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_fpF55Ivlg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,一手精装，方正两房，9号线梅景站，车位充足！,630万,低楼层                                    (共46层)                                                                      | 2015年建 |                                2室1厅 | 51.43平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_fMUR1RoIJ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村二区方厅三防，中楼层，满五红本,960万,中楼层                                    (共9层)                                                                      | 1998年建 |                                3室2厅 | 92.37平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_tOcqxQrES_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,4-9号线上梅林地铁口，朝南两房 楼下天虹和卓悦汇必看好房,525万,中楼层                                    (共31层)                                                                      | 2003年建 |                                2室1厅 | 60.45平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_SvpniaSVg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,温馨方正紧缺安静两居，视野开阔，提包入住，诚信出售,521万,中楼层                                    (共12层)                                                                      | 2000年建 |                                2室1厅 | 55.82平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/1f54d976-4a97-472f-b41d-525ec906690d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口 卓悦汇 精装两房视野好 业主诚意出售,270万,低楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 41.97平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/3a0d9398-d4aa-463d-81bb-d6fb81f10dbc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满五年唯一红本在手，地铁口物业，中间楼层必看好房,550万,中楼层                                    (共8层)                                                                      | 1998年建 |                                3室1厅 | 77.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_JBFh2HO7A.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林  方正 近地铁 近公园 居家氛围好,315万,低楼层                                    (共7层)                                                                      | 1996年建 |                                2室2厅 | 46.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hQIPRdZCg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一红本在手税费低双地铁物业,680万,高楼层                                    (共8层)                                                                      | 1996年建 |                                3室1厅 | 87.7平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-e1f379e3-943e-41e7-adb1-d0242a5cf4e1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林公园口的办公楼，交通购物方便，业主诚心出售,600万,低楼层                                    (共21层)                                                                      | 2014年建 |                                1室0厅 | 127.86平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_V2uyUTqkX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口 精装 实用 户型方正 商务圈 配套齐全,368万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 56.99平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_jUtXNpaKK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,虹湾四房满五年 好户型，精装修价格实惠，诚心出售,1450万,低楼层                                    (共44层)                                                                      | 2015年建 |                                4室2厅 | 142.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_oJNpEaOqr.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,三房两卫双阳台，大社区，交通方便，满五年的,1080万,低楼层                                    (共24层)                                                                      | 2005年建 |                                3室2厅 | 111.09平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wMVzp2rCN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,下梅林深华公寓 70年产权住宅,300万,高楼层                                    (共7层)                                                                      | 1996年建 |                                1室1厅 | 42.87平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_olO28hL6G.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,凯丰花园正规一房一厅，封闭花园24小时管理。,420万,低楼层                                    (共18层)                                                                      | 2005年建 |                                1室1厅 | 43.74平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_26OXWGCEk.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村 靠山三房 看山景 视野开阔 实用三房 户型好,800万,中楼层                                    (共31层)                                                                      | 2000年建 |                                3室1厅 | 89.59平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_Vfd7U5QXh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,凯丰花园精装单间近地铁卓悦汇旁,220万,高楼层                                    (共7层)                                                                      | 1998年建 |                                1室0厅 | 31.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2b79962f-60a3-48e1-8291-2012bdfa6c75_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,南北向 迷你新居 端头位置 47平 保养好,388万,中楼层                                    (共16层)                                                                      | 2008年建 |                                1室1厅 | 47.28平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_joxyQglYd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田下梅林低总价电梯两卧，使用率高。,335万,低楼层                                    (共16层)                                                                      | 2008年建 |                                2室1厅 | 35.28平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_hjt93ZmOU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口的满五税费少的大户型 3个大阳台,780万,中楼层                                    (共8层)                                                                      | 1998年建 |                                4室2厅 | 117.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_JdZtlGu9t.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福兴花园 精装2房 高楼层采光好 视野开阔！,749万,高楼层                                    (共11层)                                                                      | 2002年建 |                                2室1厅 | 79.97平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_CcEnEhiVe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,迷你新居，拎包入住，近地铁口，业主诚心售,210万,中楼层                                    (共16层)                                                                      | 2008年建 |                                1室0厅 | 26.72平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_A6bOez9gU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村 花园围合社区 精装修大三房 满五年 诚售,900万,低楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 97.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/84135e74-4955-4af0-968a-24457bbcfed9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主换房急售，满五唯一红本在手，户型实用，梅香加持,955万,高楼层                                    (共25层)                                                                      | 2008年建 |                                3室2厅 | 88.48平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_9PRYV2co5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,中间楼层，采光通风好，小区带泳池，9,10号线在楼下,175万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室0厅 | 27.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4OFgK60SP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年，红本，双地铁口，配套完善必看好房,535万,中楼层                                    (共12层)                                                                      | 1998年建 |                                2室1厅 | 77.57平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_D7RXuca0W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,近地铁口 户型方正 通风采光没的说 楼层好,1000万,中楼层                                    (共11层)                                                                      | 2007年建 |                                4室2厅 | 94.85平米                                  | 东南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZtDVtjX8n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,通透4房 安静看花园 看房有钥匙 急需出售,2000万,低楼层                                    (共27层)                                                                      | 2015年建 |                                4室2厅 | 176.93平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_7Swtl7iVR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,御锦公馆 1室1厅 东北,233万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 38.87平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_CIHkUzxKW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,半山精装三房 保养好 户型方正 南北通透,860万,中楼层                                    (共10层)                                                                      | 2008年建 |                                3室2厅 | 86.89平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/a579bf6c-ccfd-457f-92ec-776ac6fbcd32_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,蓝宝石家园顶楼复式安静近莲花山,690万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 69.41平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_i2HzmNrHH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一，看花园安静南北向楼层好，公园里的家,900万,中楼层                                    (共8层)                                                                      | 1995年建 |                                3室2厅 | 92.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7zNhFVWFg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口物业，正南朝向，采光通风赞，看房提前约可看,535万,高楼层                                    (共31层)                                                                      | 2003年建 |                                2室1厅 | 60.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GNBXnu9Qc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,15年楼盘 高层看山看市民中，心 ，通燃气，不要名，额,470万,中楼层                                    (共30层)                                                                      | 2013年建 |                                3室1厅 | 67.83平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_jQXURTRTb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,户型方正 视野无遮挡 楼层好 实用率高,280万,高楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 42.87平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_kIkY7XXQ2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
