20210126,龙岗区,龙岗双龙,二加一房，中间楼层，厅出阳台，西南向必看好房,280万,中楼层                                    (共30层)                                                                      | 2015年建 |                                3室1厅 | 81.03平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_PabITpctO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都1房精装修朝北超大平层，业主诚心出售。。必看好房,210万,中楼层                                    (共28层)                                                                      | 2008年建 |                                1室1厅 | 58.81平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_HPToZa1lZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东方瑞景苑 高楼层 低总价小户型 诚心卖，满2年,120万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 31.78平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_V8Z8xPQIb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，南联地铁口，花园大社区,470万,高楼层                                    (共6层)                                                                      | 2001年建 |                                5室2厅 | 191.58平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uHuRPQK1c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,公园小区，产权面积79平，超大利用率。大户型。,360万,高楼层                                    (共18层)                                                                      | 2007年建 |                                4室2厅 | 79.78平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_sNtv76F4T_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东方瑞景苑 1室1厅 东南,130万,低楼层                                    (共23层)                                                                      | 2011年建 |                                1室1厅 | 31.89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_m2jMsUGOB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一  双地铁口 公园旁 4+1房,575万,低楼层                                    (共23层)                                                                      | 2010年建 |                                5室2厅 | 139.76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_o3R9Sy9TO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,标准二房，精装修，高楼层，东南向，无遮挡，急卖,388万,中楼层                                    (共43层)                                                                      | 2017年建 |                                2室1厅 | 69.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_yhzGn1Cah_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五唯一，采光充足，楼层好，视野开阔.,330万,低楼层                                    (共26层)                                                                      | 2011年建 |                                2室2厅 | 74.37平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_LBtXTqAt2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一住宅，户型通透，厅出阳台正南，视野好,350万,低楼层                                    (共17层)                                                                      | 2014年建 |                                3室2厅 | 79.4平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_th5HeanCQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,深物业精装三房，红本在手 楼层视野无遮挡，诚心卖,388万,中楼层                                    (共31层)                                                                  3室2厅 | 87.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jhOA6OTlN.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城值得推荐的地铁口三房  东南 满五后过户,400万,中楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 89.91平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_alZk7gj1E.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,沃尔玛楼上大单间 装修保养好 诚心出售,125万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 37.46平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_RHNtm0opL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城中间位置朝南4+1房满五年税费少 中间楼层看花园,749万,中楼层                                    (共32层)                                                                      | 2016年建 |                                5室2厅 | 142.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Brpsk6Yov.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满京华喜悦里88平米，朝南户型，业主自住装修保养好,487.5万,高楼层                                    (共31层)                                                                      | 2014年建 |                                3室1厅 | 88.54平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FpkAThAQ0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙枫景园 3室1厅 东南,430万,中楼层                                    (共26层)                                                                      | 2011年建 |                                3室1厅 | 88.69平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_hiEoVZxkN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口，正厅出阳台3房，周，边配套齐,475万,中楼层                                    (共31层)                                                                      | 2014年建 |                                3室1厅 | 80.68平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jU1QDTb4w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都一期洋房厅出阳台阳台诚心出售,390万,中楼层                                    (共6层)                                                                      | 2007年建 |                                3室1厅 | 100.28平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_quXlKPJmh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口物业  总价低 业主诚心卖,125万,中楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.46平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_XYkHutYSy.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁口物业，小区自带永辉超市，业主诚心出售,540万,低楼层                                    (共28层)                                                                      | 2015年建 |                                5室1厅 | 138.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_60KbKL5aX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,单价便宜，户型方正，实用性很强，看房方便,325万,中楼层                                    (共5层)                                                                      | 1994年建 |                                3室2厅 | 124.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qZ082vCfA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,龙岗小两房，总价低，刚需入手房。必看好房,188万,中楼层                                    (共9层)                                                                      | 2006年建 |                                2室1厅 | 50.97平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-ded709af-ea78-4da7-bf63-bb7fdb918ada.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年，  地铁口双龙抱珠户型，东南朝向，看房有钥匙,548万,高楼层                                    (共27层)                                                                      | 2015年建 |                                4室2厅 | 109.83平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_tUsUESvoh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一 朝南看花园，小区绿化高，住家安静。,313万,低楼层                                    (共9层)                                                                      | 2006年建 |                                3室1厅 | 76.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BT90EmHK8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满二年 标准大单间 沃尔玛楼上 地铁沿线,135万,中楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.46平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_pabn0IPLI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双龙地铁口精装3房，视野采光都好，朝南看八仙岭,420万,低楼层                                    (共26层)                                                                      | 2011年建 |                                3室1厅 | 88.52平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YkPzzGUzs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口，满京华喜悦里，次新小区,680万,低楼层                                    (共31层)                                                                      | 2014年建 |                                4室2厅 | 143.11平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_0XodWJ3Tz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁口上车盘 精装一房 朝南看花园 免个税 业主诚售,150万,中楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.46平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_n3Gfait2i.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,聚龙苑 4室2厅 南,450万,高楼层                                    (共17层)                                                                      | 2008年建 |                                4室2厅 | 110.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_XY9s1TdO7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口   可满五唯一过户  红本在手必看好房,240万,高楼层                                    (共8层)                                                                      | 2004年建 |                                2室1厅 | 76.84平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_x7WbQUCY9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,高楼层，位置好，朝西南，看花园，无遮挡，采光通透．,430万,高楼层                                    (共46层)                                                                      | 2017年建 |                                3室2厅 | 88平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_JRTmmq9pO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁站 满五年 精装修四房 高楼层看花园,520万,高楼层                                    (共32层)                                                                      | 2014年建 |                                4室2厅 | 88.53平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ksClQ1DQb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子带居家装修4房格局 两个房间都朝南视野开阔无遮挡,450万,低楼层                                    (共30层)                                                                      | 2015年建 |                                4室1厅 | 118.18平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zuAxJ9ie5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子装修不错 目前是业主自住 看房也方便 诚心换房,405万,高楼层                                    (共16层)                                                                      | 2015年建 |                                4室2厅 | 88.39平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_nf6piRc8a_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口物业，八仙岭公园，业主诚心出售,290万,中楼层                                    (共27层)                                                                      | 2009年建 |                                2室1厅 | 71.01平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_LeYWtwXuo.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁线  70年公寓  配套齐全,140万,低楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.5平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_MKvivDaF3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,国庆必看好房，深物业次新房刚需实用两房，朝南看花园,265万,低楼层                                    (共31层)                                                                  2室1厅 | 68.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_e3I0Dgfya.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁线 70年住宅 配套齐全,305万,高楼层                                    (共27层)                                                                      | 2011年建 |                                2室2厅 | 74.59平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YlIp8ycyh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,新上一房 保养好 业主诚心出售 楼下沃尔玛,120万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 31.89平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HOpiswThw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,朝南无遮挡阳光充足，带实用60平平台。,400万,低楼层                                    (共28层)                                                                      | 2011年建 |                                3室1厅 | 88.61平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1re8UTFuo.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年唯一 红本在手 南联地铁口花园社区 电梯房,265万,中楼层                                    (共8层)                                                                      | 2004年建 |                                2室1厅 | 76.4平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-6496fbc6-a3f5-4dd5-91e2-35ccc7003d39.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年 精装三房 通透采光好 业主自住 户型方正,298万,低楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 94.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kTq8nBI4k_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,龙园大观通透精装4房 满两年税少 厅出阳台朝南,495万,高楼层                                    (共31层)                                                                      | 2017年建 |                                4室1厅 | 86.04平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/pc1_ynqZM2OpQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年唯一，双龙地铁口，公园旁，看公园，朝南,420万,中楼层                                    (共28层)                                                                      | 2011年建 |                                3室2厅 | 88.59平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-6ba2c040-7761-45ba-b112-15d3e9c4e038.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,户型方正，居家装修，生活方便，交通便利。,260万,中楼层                                    (共16层)                                                                      | 2005年建 |                                2室1厅 | 74.99平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_APiA1iWPz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,瑞景苑大五房高楼层采光视野好税费少 满五唯一红本,508万,高楼层                                    (共27层)                                                                      | 2011年建 |                                5室2厅 | 158.71平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_sH5UuPVzn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,3号线地铁口物业 楼下华润万家超市,345万,中楼层                                    (共31层)                                                                      | 2010年建 |                                2室2厅 | 81.96平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_tNgSRAKw1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,佳兆业水岸新都 大社区 大双拼 朝南 诚意出售,628万,中楼层                                    (共28层)                                                                      | 2008年建 |                                5室2厅 | 164.46平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-b0c45f49-8c48-4df9-af9a-026dbed6df8c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁口 正规3房2厅 满5唯一 税少 诚心出售,330万,中楼层                                    (共7层)                                                                      | 1993年建 |                                3室2厅 | 93.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qsEevZ5iu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,房子满五年唯一欠款少，三阳台看湖,380万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 100.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Lgw8yVHgB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,龙岗区 地铁物业 高楼层 采光通风好 诚意出售 随时看,500万,高楼层                                    (共31层)                                                                      | 2017年建 |                                3室2厅 | 86.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GqcIXKmgy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,标准两房，采光通透，无遮挡，诚心出售，看房方便。,310万,低楼层                                    (共43层)                                                                      | 2017年建 |                                2室1厅 | 69.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_t5eOnIGIB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙稀有南向两房，满五年唯一住宅，红本在手。必看好房,365万,中楼层                                    (共26层)                                                                      | 2011年建 |                                2室1厅 | 75.01平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-91eaa50b-bb11-4064-af43-aaddae78b710.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双地铁口物业 正规三房 户型方正,300万,中楼层                                    (共7层)                                                                      | 1993年建 |                                3室2厅 | 92.36平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_IUc3NevX6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口  满五唯一  正规两房  业主诚心卖,275万,中楼层                                    (共16层)                                                                      | 2005年建 |                                2室1厅 | 74.81平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ixABSP5dq.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,刚需小户型，总价低，户型方正采光好,75万,中楼层                                    (共15层)                                                                      | 2005年建 |                                1室1厅 | 46.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_epZjSYtDb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,刚需小户型，总价低，户型方正采光好,75万,中楼层                                    (共15层)                                                                  1室1厅 | 46.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8NGShZxnf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,双龙地铁口，精装4房，视野采光都好,560万,低楼层                                    (共26层)                                                                      | 2011年建 |                                4室1厅 | 135.08平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7ZWiJo4VB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,深物业次新房，刚需实用三房，朝南视野开阔,355万,低楼层                                    (共31层)                                                                  3室2厅 | 87.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LRsj8gkqX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装修 大3房 税费少 社区环境好,350万,高楼层                                    (共11层)                                                                      | 2006年建 |                                3室2厅 | 105.36平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zRCwwZ4wg.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,百万大盘，标准2房，中高楼层，业主诚心出售,320万,高楼层                                    (共43层)                                                                      | 2017年建 |                                2室1厅 | 69.57平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-ae333b08-c484-416f-8814-6fce8bb8a264.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口 小区中庭位置 南北通透 华润万家公园等,350万,中楼层                                    (共6层)                                                                      | 2003年建 |                                3室2厅 | 99.08平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GIOD84bmc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口高层，满两年精装修，横厅,410万,高楼层                                    (共26层)                                                                      | 2011年建 |                                3室2厅 | 89.07平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RKpRzSPpQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,毛坯地铁口物业，朝南看花园高楼层事业无遮挡,550万,高楼层                                    (共31层)                                                                      | 2014年建 |                                3室1厅 | 89.66平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_B0JvUbbPQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁站物业 标准南北通四房  精装修 采光好,450万,低楼层                                    (共10层)                                                                      | 2003年建 |                                4室2厅 | 132.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BboKU6xsl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,花园中间，电梯房，户型通透，满两年，保养好,420万,中楼层                                    (共10层)                                                                      | 2003年建 |                                4室2厅 | 133.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_CQuT9RY5n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,小户型住宅  高楼层  视野开阔  通透  交通便利,130万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 35.28平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_aFsqQiXPd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,16号线地铁口物业 楼下沃尔玛 满五唯一 业主诚售,487万,中楼层                                    (共27层)                                                                      | 2011年建 |                                3室2厅 | 116.53平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_lChpVj2Bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城精准三房  满五一套 税费少 红本在手 东南向,420万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 86.78平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_QuEyFkRuA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,公园脚下好三房，环境优美，山清水秀,385万,低楼层                                    (共33层)                                                                      | 2017年建 |                                3室2厅 | 88.87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jZaef00gg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,在南联站地铁，旁的房子，周-边配套齐全！！！,450万,低楼层                                    (共28层)                                                                      | 2015年建 |                                3室1厅 | 89.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ujCmgpjia_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年税费少，地铁上物业，户型方正交通便捷,550万,中楼层                                    (共25层)                                                                      | 2014年建 |                                4室1厅 | 110.59平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-3a97a350-9afa-46c4-836c-22a280fa8389.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,2月满五唯一，标准两房，户型方正，近16号线地铁口必看好房,255万,低楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 70.4平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-86e3ecaa-ecc1-4d55-820c-fb49984f4611.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,龙岗义乌旁边 准地铁口 业主诚心出售,355万,中楼层                                    (共10层)                                                                      | 2006年建 |                                3室2厅 | 110.3平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_D5rrFp700_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，税少，精装修，看花园游泳池，双卫生间,544.8万,低楼层                                    (共31层)                                                                      | 2014年建 |                                4室2厅 | 112.24平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_bvpEWt97b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,标准三房明厨明卫，业主诚心出售，满五年必看好房,293万,中楼层                                    (共9层)                                                                      | 2006年建 |                                3室2厅 | 83.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QQH9XW2IC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,次新房小区，精装修朝南高楼层三房，买来直接入住。必看好房,340万,中楼层                                    (共31层)                                                                  3室2厅 | 87.14平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qdNop48jX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙枫园 精装修3房 户型方正 客厅出阳台,450万,中楼层                                    (共26层)                                                                      | 2011年建 |                                3室1厅 | 88.44平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_VCvPC9ea1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口精装两房，朝南高楼层，远看公园，近看花园,330万,高楼层                                    (共26层)                                                                      | 2011年建 |                                2室1厅 | 74.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xLMdhZC4F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口大五房，楼下就是天机城广场，交通方便,660万,低楼层                                    (共32层)                                                                      | 2016年建 |                                5室1厅 | 175.07平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_zNugnJ42D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,公园旁边，天然氧吧 三房二卫 高楼层采光好,410万,高楼层                                    (共34层)                                                                      | 2017年建 |                                3室2厅 | 89.65平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CoOROMSlL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城 精装三房 南联地铁物业  自住装修,450万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 85.21平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pcOGm1opD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,国庆必看好房双拼可分开卖，满五年,320万,高楼层                                    (共28层)                                                                  3室1厅 | 87.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Kkjjg5WhA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五唯一，户型方正，得房率高，住家装修，通透.,410万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 100.43平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sERD38brM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,海航城正规三房 诚心出售，看房方便必看好房,360万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 86.79平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TQdwlwGdk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,风临四季 标准的大三房 满两年 价格实惠 急卖,320万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 97.09平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9hxp8YgAz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
