20210128,天河,珠江新城西,漾晴居 高楼层 品质小区 间隔方正 实用率高 近地铁必看好房,988万,高楼层                                    (共33层)                                                                      | 2001年建 |                                3室2厅 | 93.84平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_C8LzI8Qij_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,高层视野开阔 配套成熟 户口无占用 保养新净 业主诚售,325万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 43.11平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/pc1_Lz5TCwy0Q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥小户型出售 方正实收 全新装修保养好,260万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_22jMwBpGP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,诚意出售，通风采光好，带租约卖必看好房,410万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_21Hxn1ypT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,高层正对CBD景观，通风对流户型，户型方正,2430万,中楼层                                    (共41层)                                                                      | 2010年建 |                                3室2厅 | 243.26平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/6bb35207-9ee1-4510-bd22-56977a089d90_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城 嘉裕礼顿阳光 南向大单间，采光充足,280万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_1vhCzKVBk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦 1室1厅 西,200万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 50.26平米                                  | 西,http://ke-image.ljcdn.com/440100-inspection/pc1_PKV9Ifdyt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,双城国际 高楼层一房一厅 阳台朝南向,440万,高楼层                                    (共29层)                                                                      | 1998年建 |                                1室1厅 | 66平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/6a025159-796f-4ca9-992e-c3c44ea356a4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,盈力东向63方大单间工作室出售 带租约每个月6500,228万,低楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 63.39平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_S3WM6xe7f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦户型好保养好业主诚心出售民用水电近地铁,160万,低楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 49.88平米                                  | 西,http://ke-image.ljcdn.com/440100-inspection/pc1_PhEQxwIXR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区，公寓出售，户型方正实用，采光好,280万,低楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 50.73平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_Rhf4AwP7g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城富力盈丰大厦两房出售办公性质随时可购,400万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室2厅 | 101.75平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_FLU9jVj5d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,丽晶华庭 大户型四房 保养靓丽 装修精装,962万,低楼层                                    (共30层)                                                                      | 1998年建 |                                4室2厅 | 149平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_g6Ql1m3C3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,方正单间 适合CBD上班族 温馨大单间,275万,中楼层                                    (共28层)                                                                      | 2003年建 |                                1室1厅 | 44.59平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-07da37ef-dc53-446f-a3bc-53bfa7a886d9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,广弘天琪 西南向单间 采光很好,380万,低楼层                                    (共31层)                                                                      | 2005年建 |                                1室1厅 | 42.8平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-67feef79-b556-4cf8-9211-631ec69066ac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 五星酒店式公寓一室一厅 空中泳池 配套成熟,308.3万,低楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 55.06平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_N1p3RYemi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,东南朝向，地铁沿线，看房方便，实用,980万,高楼层                                    (共25层)                                                                      | 1998年建 |                                4室2厅 | 146.84平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_FdOyhwZD3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城边上公寓！两首歌到珠江边上花城广场！,345万,中楼层                                    (共31层)                                                                      | 2005年建 |                                1室0厅 | 42平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_GRwnW1yax_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,花园小区，安静舒适，三代同堂适宜居住,380万,中楼层                                    (共31层)                                                                      | 2005年建 |                                1室1厅 | 41.7平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ltlpIFAqm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南天广场 二居室 看房方便 业主诚意放卖,534万,中楼层                                    (共33层)                                                                      | 1997年建 |                                2室2厅 | 86.93平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_oliGyyRTm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城品质楼盘 星汇云锦 业主全新装修 采光好,855万,中楼层                                    (共45层)                                                                      | 2010年建 |                                1室1厅 | 85.73平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_GjzwpOosQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,精致一房一厅，采光明亮，近地铁,590万,中楼层                                    (共31层)                                                                      | 2005年建 |                                1室1厅 | 58.67平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_SpDrT6R5H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力爱丁堡国际 一房两厅 精装修,398万,低楼层                                    (共32层)                                                                      | 2007年建 |                                1室2厅 | 91.31平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_20Yw2dsEa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,稀却 复式 南向四房 精装修  居住安静舒适,2380万,高楼层                                    (共11层)                                                                      | 2004年建 |                                4室2厅 | 220.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bsd5EjvaD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,名门大厦 4室2厅 东北,900万,中楼层                                    (共33层)                                                                      | 1997年建 |                                4室2厅 | 156.96平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_H7HU9iemn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,皓瀚华轩 保养新净 户型方正 安静舒适 价格实惠必看好房,760万,中楼层                                    (共22层)                                                                      | 2000年建 |                                3室1厅 | 101.59平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_fINgFMVCC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,视野开阔 南向安静 诚意出售 通风采光好,746万,中楼层                                    (共20层)                                                                      | 2004年建 |                                3室2厅 | 91.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_nGW7sxAei_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 1室1厅 西,300万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 53.55平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_polGJks1f_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,东向 采光通风好，安静视野开阔,730万,中楼层                                    (共20层)                                                                      | 2004年建 |                                2室2厅 | 90.28平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_qJ1nJuEma_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦 1室0厅 南,185万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 56.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MiJC5Ovz8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 1室1厅 南必看好房,356万,高楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 38.09平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yVkpPWeVO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,小户型北向 中层视野好 保养新净,185万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 50.54平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FRPIEUPGk.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,此房复式一房一厅，满五不唯一，东南向,310万,中楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 31.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_tq9lY8nOc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 酒店式产品 拎包既住 业主诚心出售 随时可看,530万,低楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 83.75平米                                  | 南 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_RYsiYpNqx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦 2室1厅 西北,350万,低楼层                                    (共30层)                                                                      | 2005年建 |                                2室1厅 | 98.99平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_yTHmAdwxA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力爱丁堡  落地大窗户 采光很好 视野也很好,495万,低楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 97.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KTeBa4Ty0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦西南向三房格局方正保养好预约可看,450万,中楼层                                    (共30层)                                                                      | 2005年建 |                                3室1厅 | 127.9平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ca38sPub9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南天广场  户型方正 交通便利,610万,中楼层                                    (共33层)                                                                      | 1997年建 |                                2室2厅 | 92.37平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_K9fokL6Q5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕君玥公馆，舒适安静，住家氛围浓厚，户型方正实用,3500万,高楼层                                    (共30层)                                                                      | 2009年建 |                                1室1厅 | 292平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_TI7bGJGcw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 1室0厅 西,228万,低楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 36.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_pAVpovVCt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,新大厦国际 东南向4房 高楼层单位 位置安静,1315万,高楼层                                    (共30层)                                                                      | 1998年建 |                                4室2厅 | 168.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Lh8q1T2jb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇园 5室2厅 西南,2880万,高楼层                                    (共32层)                                                                      | 2001年建 |                                5室2厅 | 247.78平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_mlEFkr6q7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,中高楼层大户型，江景房、海心沙、小蛮腰一揽无疑,3670万,中楼层                                    (共28层)                                                                      | 2003年建 |                                4室2厅 | 366.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/0de9b9b7-9312-4151-81fb-bc5371290da9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正，采光通透，可注册公司一址多照,180万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/557bd4b7-419c-49d7-bc9c-667178f6d358_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城富力盈力大厦个人可购买采光好保养好方正实收,230万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 68.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ofK0fAYwf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城嘉裕礼顿南向一房 诚意出售,300万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c40e53e4-478b-4f37-b57d-d7e6a6d82de8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,品质户型复合式户型 带偌大入户 小区有空中园林,200万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 50.54平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_MSxKpaTgG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,远洋明珠 舒适两房  业主诚心放卖 看房方便,660万,中楼层                                    (共25层)                                                                      | 1998年建 |                                2室1厅 | 85平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_tl3s2W0zU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区富力盈丰大厦，户型方正，装修保养好。,178万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.15平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_VyRGZUoQq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,个人可购买珠江新城富力盈丰单间复式,276万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 55.8平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_jF1l7biur_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区富力盈丰大厦，户型方正，装修保养好。,198万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_YcEYQaPfc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 1室0厅 西,200万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_BVjHjdk3B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 1室0厅 南,204万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oBt4uqXR6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 1室0厅 西,200万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_r82Wm8bjR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区复式房，装修保养好带花园。,860万,低楼层                                    (共29层)                                                                      | 2005年建 |                                3室1厅 | 186.1平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ebYV7PaZf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 实用精装复式一房 采光明亮,348万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 45.1平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fLlffa9Wd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,盈丰中高层东北向户型带租约出售  即买即收租,368万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 100.4平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_4xZ0LVh57_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,保利香槟花园 5室3厅 南 北,2350万,高楼层                                    (共11层)                                                                      | 2004年建 |                                5室3厅 | 213.35平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/1aa60709-f784-48ab-b955-18f46d323949_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际 高层南向 视野开阔 可望广州塔景观,275万,高楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 45.67平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/72b3276a-f5ec-428a-9817-fd48026e0742_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,看房方便 诚心卖 视野开阔 交通便利,189万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 52.4平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ILW1dVfbu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,交通方便 采光通透 户型方正 复式2层,660万,中楼层                                    (共33层)                                                                      | 1997年建 |                                3室2厅 | 112.68平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_XbFuELrZ2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,正南复式 实用率高 带家具 采光好 安静舒适,1200万,低楼层                                    (共33层)                                                                      | 1997年建 |                                4室2厅 | 171.99平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_natOJzga3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 2室1厅 西南必看好房,445万,低楼层                                    (共22层)                                                                      | 2005年建 |                                2室1厅 | 50.33平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_9CRlJ2LHZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星辰财富港高层 房屋采光明亮 通风好,695万,高楼层                                    (共20层)                                                                      | 2004年建 |                                2室2厅 | 83.44平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_7RUyUCR0Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,碧海湾 全新装修 全景海心沙 小蛮腰景观,2000万,中楼层                                    (共28层)                                                                      | 2003年建 |                                4室2厅 | 189.23平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_feriA2T4Q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,个人可购买，户型方正，采光通透，可注册公司一址多照,182万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.15平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_V4Od9Kxte_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南向，采光充足，配套齐全，交通便利,330万,中楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 38.09平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xIeLzWU8E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正实用，精装修，个人可购买，交通便利,185万,低楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 54.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_JDOf7Vmbz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城 城芯CBD 复式一房一厅  采光充足 保养新净,288万,中楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 36.77平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jyEbZNFsl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际 大落地窗  复式一房一厅必看好房,300万,高楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 38.56平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_tvCmVqGAi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城  大单间   装修保养好 有租客提前约,205万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 58.76平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_Tewas1x7F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,配套设施齐全，交通便利，装修精致的两房。,300万,中楼层                                    (共29层)                                                                      | 1998年建 |                                2室1厅 | 37.52平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BhfYVC3Qm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,楼盘新，就能买到珠江新城地段楼盘，采光充足,318万,低楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 50.73平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_INamSsabq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力140方东南向三房 保养好采光通透 交通便利,510万,低楼层                                    (共30层)                                                                      | 2005年建 |                                3室1厅 | 140.93平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_lxjUaCo9q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓，    一房一厅,380万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pM9fP7sYj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 复式一房一厅 精装修保养好 收租神器必看好房,278万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 34.57平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0287LAPUK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 1室1厅 北,310万,高楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 39.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_5nJXf74q0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正实用，个人可购买，交通便利。,205万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 56.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QBBsp9vzd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际小复式住宅，全景落地窗，采光好必看好房,310万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室0厅 | 36.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sRNZOqHCI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 复式二房 实用通风采光好,480万,高楼层                                    (共22层)                                                                      | 2005年建 |                                2室2厅 | 51.72平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_5SziFc8HN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际公寓 2室2厅 北必看好房,330万,中楼层                                    (共22层)                                                                      | 2005年建 |                                2室2厅 | 42.55平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_NgFs0ns4P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正实用，精装修，个人可购买，交通便利,185万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 57.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_W2FiEOZ9i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城富力盈丰大单间，总价低，采光好，电梯口位,175万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 52.01平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_QYg0iWirL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,精装修 朝南向 保养好，看房提前约,328万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fkhHoj1Kz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城地铁站  原始户型三房,700万,中楼层                                    (共33层)                                                                      | 1997年建 |                                3室1厅 | 112.68平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_7P8yMhRg0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,少有的高层大平层放售，一线江景无摭挡,2200万,高楼层                                    (共28层)                                                                      | 2003年建 |                                4室2厅 | 201平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Qx5qtWdQ1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰靓房放卖  经典温馨 采光好,190万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_T3R3AqYAW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 户型方正 采光明亮 看房方便,250万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 51.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cUuSHTSt6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城，高层南向，视野好，采光好,1350万,高楼层                                    (共33层)                                                                      | 1997年建 |                                5室2厅 | 252.06平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_p95hRuXUB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
