20210128,龙岗区,布吉南岭,爆炸急卖，满五唯一好房，看房方便。必看好房,500万,高楼层                                    (共31层)                                                                      | 2016年建 |                                3室1厅 | 87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5cqO23CSW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期南向看樟树布花园 高楼层 景观视野好,710万,中楼层                                    (共40层)                                                                      | 2017年建 |                                4室1厅 | 122.49平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-76736fbf-7ec5-4f82-8dfd-655492e18d12.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园脚下，实用三房，采光通风好,450万,中楼层                                    (共33层)                                                                      | 2014年建 |                                3室1厅 | 89.58平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_mviLxMpgX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里四期中高层看梧桐山和水库景观视野好,520万,中楼层                                    (共40层)                                                                      | 2017年建 |                                3室1厅 | 86.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CPpI0m2vs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一税少，精装修东南朝向，户型方正实用,380万,低楼层                                    (共11层)                                                                      | 2004年建 |                                2室2厅 | 69.08平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_T8sUwZnvc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,大族河山 3室2厅 西南,429万,低楼层                                    (共33层)                                                                      | 2015年建 |                                3室2厅 | 78.04平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_2BLDOOVSC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年 一手业主 东南朝向，保养好 高楼层 少量贷款。,520万,中楼层                                    (共32层)                                                                      | 2014年建 |                                3室2厅 | 88.63平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_2n0vMyjES_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年税费少，中楼层采光通风好,350万,中楼层                                    (共6层)                                                                      | 1993年建 |                                3室1厅 | 82.23平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_SlKM1jGXL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大国香山 正规四房 重新装修,560万,中楼层                                    (共41层)                                                                      | 2015年建 |                                4室1厅 | 87.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kO48S0Mwy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,泰阳金桔苑 满五唯一方正朝南两房 精装修,280万,低楼层                                    (共6层)                                                                      | 1996年建 |                                2室2厅 | 74.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KoFSkyNqx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科一房一厅，满五唯一， 高楼层，采光好,235万,高楼层                                    (共29层)                                                                      | 2012年建 |                                1室1厅 | 42.82平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_XYSNfo2zU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,朝南三房，业主自住。满四，业主诚心卖,600万,高楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 83.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_z1x3cpQQ4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,精装修一房一厅，采光视野无遮挡，木棉湾地铁口必看好房,259.8万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 44.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4TCt8hloQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五 业主自住 诚心卖 保养好,500万,中楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 68.55平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_zVIQNAjQO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年，勤诚达大世纪水山缘两居室,277万,中楼层                                    (共11层)                                                                      | 2006年建 |                                2室1厅 | 53.63平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_XTZADPIRe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,实用两房，南向单位，中间楼层，住家安静舒适,286万,中楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 65.82平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EQF49DPoz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山下，靠山朝南两房，中间楼层，业主诚意出售,320万,中楼层                                    (共7层)                                                                      | 1994年建 |                                2室2厅 | 78.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_EVyrwqJ8G.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,南岭花园 朝南2房 中间楼层，双阳台,300万,中楼层                                    (共7层)                                                                      | 1994年建 |                                2室2厅 | 78.59平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_1EkLIaqah.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑 2室1厅 北,360万,中楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 64.05平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_PKxuhsQZ7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,房子满五年，户型方正，业主精致装修，保养不错,650万,中楼层                                    (共30层)                                                                      | 2013年建 |                                3室1厅 | 98.91平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_5P4DkeDH0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里三期 3室1厅 东南,405万,低楼层                                    (共46层)                                                                      | 2016年建 |                                3室1厅 | 106.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_UYScNxPCS.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年，唯一，红本，带天台花园，业主自住，保养好,360万,高楼层                                    (共8层)                                                                      | 2001年建 |                                3室1厅 | 81.08平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-2397e323-74d0-42d7-bdce-a9d51ac34b6f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,泰阳户型方正两房，朝正南向，背靠求水山，空气清新,280万,中楼层                                    (共6层)                                                                      | 1996年建 |                                2室1厅 | 75.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jOod6rPz9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一地铁口，次新房，佳兆业新都汇，大三房，安静必看好房,580万,低楼层                                    (共30层)                                                                      | 2013年建 |                                3室2厅 | 98.98平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_8pe6erJHj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一，南北通透户型，采光好,450万,高楼层                                    (共18层)                                                                      | 2009年建 |                                3室1厅 | 95.48平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_oapbZD9iv.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满五年唯一，楼层好，通透视野好，精装修的五房,600万,低楼层                                    (共41层)                                                                      | 2015年建 |                                5室2厅 | 89.93平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bftaSxdnB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,泰阳金桔苑实用大两房，朝南，户型方正，诚心卖,280万,高楼层                                    (共6层)                                                                      | 1996年建 |                                2室1厅 | 75.45平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_z25cZFCmd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满4年，楼龄新精装修，近地铁带商场，,580万,高楼层                                    (共24层)                                                                      | 2016年建 |                                3室1厅 | 89.08平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_UREK4fZMk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,泰阳金桔苑三房，南北通透，采光好，业主诚心卖,272万,高楼层                                    (共6层)                                                                      | 1996年建 |                                3室1厅 | 85.94平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_reN7PqGKY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山公园 成熟社区 南岭花园 标准三房  钥匙在手,320万,低楼层                                    (共7层)                                                                      | 1996年建 |                                3室2厅 | 88.92平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_xVJwOLpVq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,开车一步罗湖！木棉湾地铁口旁，客厅阔绰朝南！,500万,低楼层                                    (共21层)                                                                      | 2010年建 |                                3室2厅 | 125.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_FDfoAkyNP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科精装修看山水两房，业主自己住保养好。,280万,低楼层                                    (共46层)                                                                      | 2016年建 |                                2室1厅 | 63.07平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zegIKHgdx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,爆炸急卖！！满五唯一红本在手随时可看房，随时可以签,400万,低楼层                                    (共18层)                                                                      | 2009年建 |                                3室1厅 | 84.73平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xSb6KOj48_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里优质双拼房，精装出售,436万,低楼层                                    (共30层)                                                                      | 2012年建 |                                4室1厅 | 88.09平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_wPiGNcCV2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山旁精装大四房高楼层视野开阔业主诚意出售,535万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 118.05平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_zktodxCaE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大精装修五房，业主诚心出售，保养好，看房方便。,580万,低楼层                                    (共41层)                                                                      | 2015年建 |                                5室1厅 | 88.93平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_M79SWw1ip_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,地铁口物业，精装一房一厅，户型方正，通风采光好,280万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 43.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QxxBLqQ23_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山公园旁花园小区，安静舒适,700万,中楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 120.99平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_dJkssDOBk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,木棉湾地铁口，满五唯一，税费少免增值税,570万,高楼层                                    (共30层)                                                                      | 2013年建 |                                3室2厅 | 82.93平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_DkJw4rosz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,中高楼层，视野采光很好，视野开阔。,450万,低楼层                                    (共42层)                                                                      | 2015年建 |                                3室1厅 | 89平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_Qhz1K2iWE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里四期 南北通看公园四房三卫 ，采光视野好,780万,中楼层                                    (共37层)                                                                      | 2017年建 |                                4室2厅 | 150.15平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_nJaqUbsSK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号 4室1厅 西南,730万,高楼层                                    (共45层)                                                                      | 2017年建 |                                4室1厅 | 125平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_V9KqYLn8S_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里看花园四房，满五唯一。,800万,中楼层                                    (共32层)                                                                      | 2014年建 |                                4室2厅 | 145.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_59z3ql6FY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,，楼龄新，装修好。近地铁，带商场，出行方便,550万,低楼层                                    (共27层)                                                                      | 2016年建 |                                3室2厅 | 85.91平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_4SjDBRDh3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,中间位置，户型南北通，高楼层采光好，精装修拎包入住,850万,中楼层                                    (共37层)                                                                      | 2016年建 |                                4室2厅 | 150.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_skxQ9Z8Ip_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,高楼层无遮挡，朝南户型，看花园视野好,588万,高楼层                                    (共37层)                                                                      | 2017年建 |                                3室1厅 | 85.75平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-a62327c0-8cd3-4983-8961-ea92d5e24e82.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,地铁口物业，精装一房一厅，户型方正，通风采光效果好,260万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 43.56平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_0y7PnWZZR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,看房方便，低楼层安静，免增值税,650万,低楼层                                    (共45层)                                                                      | 2017年建 |                                4室2厅 | 125.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_an6UibJjE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号双卫三房， 高楼层视野好，朝南向看花园,560万,高楼层                                    (共45层)                                                                      | 2017年建 |                                3室2厅 | 88.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_69yNpNg4l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,本房满2年，红本在手，高楼层，采光好，精装修。,225万,高楼层                                    (共29层)                                                                      | 2012年建 |                                1室1厅 | 40.95平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_NQOO3062L_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,地铁口物业，精装一房一厅，户型方正，,270万,低楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 44.75平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_6iyrvAVeV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,一手业主，中高楼层,业主自住保养好,470万,高楼层                                    (共20层)                                                                      | 2014年建 |                                3室2厅 | 82.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_nU99FkDDF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,地铁口物业，交通便利采光通风好，实用率高,650万,中楼层                                    (共27层)                                                                      | 2016年建 |                                4室1厅 | 114.26平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-9f56a8f7-87c0-4aa4-b1bd-999600e02e95.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,开车一步罗湖！地铁口大三房！满五唯一，税费少！,500万,高楼层                                    (共21层)                                                                      | 2010年建 |                                3室2厅 | 125.89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TJCZpo6j1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,南岭花园满五年无增值税正规三房,390万,低楼层                                    (共7层)                                                                      | 1994年建 |                                3室2厅 | 88.92平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_OJ8THiGWv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号，精装四房，高楼层,880万,高楼层                                    (共37层)                                                                      | 2017年建 |                                4室2厅 | 150.2平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_SQWKOFiOI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,房子满二，格局方正，中间楼层，采光通风好,360万,高楼层                                    (共21层)                                                                      | 2010年建 |                                2室2厅 | 88.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hbaLhviWA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号，满两年，看公园，安静，视野好,560万,高楼层                                    (共44层)                                                                      | 2017年建 |                                3室2厅 | 88.99平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Z6un4bTRR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一，大芬艺术大厦，高楼层大两房，红本在手,350万,高楼层                                    (共29层)                                                                      | 2011年建 |                                2室1厅 | 76.46平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_W0chZ6wk2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大07户型 精装修 保养好 可直接入住,500万,中楼层                                    (共42层)                                                                      | 2015年建 |                                3室2厅 | 89.17平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/7ce083c7-6814-4ce3-b1bc-6432f4ce9b38_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,龙岗公园旁 文峰华庭满五年诚心卖,590万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 115.4平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_IQ1JKcHnP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,南威实用朝南两房，业主自住，采光通风好,280万,高楼层                                    (共7层)                                                                      | 1993年建 |                                3室2厅 | 76.46平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pX8Hyp6Vj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大精装大户型，临山而建，远看梧桐山水库。,840万,中楼层                                    (共40层)                                                                  4室2厅 | 171.25平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_p7OlBDe9v_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年，红本在手，户型方正，朝南向，装修好,420万,高楼层                                    (共11层)                                                                      | 2004年建 |                                2室2厅 | 78.94平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_guJhWeD1S_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大07看山望水，采光好，自己住精装修,540万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 89.1平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_tCxZ4LWWQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满三年，中高楼层，看公园全景,720万,中楼层                                    (共30层)                                                                      | 2012年建 |                                4室2厅 | 161.2平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_x3IS68f2i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,泰阳金桔苑朝南精装三房业主诚心出售。,350万,低楼层                                    (共7层)                                                                      | 1996年建 |                                3室1厅 | 87.14平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-3822b187-a468-4070-95c2-14b6d2b52d42.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,一站罗湖 满五年唯一住房 税费过户快 安静朝南,265万,高楼层                                    (共6层)                                                                      | 1996年建 |                                2室2厅 | 75.45平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_0wxXuFPid_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房户型方正，空气清新，看求水山山景。,680万,低楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 130.73平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_VD6nvAubf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,南威花园 正规大3房高楼层 采光通风好实用面积大,335万,高楼层                                    (共7层)                                                                      | 1994年建 |                                3室2厅 | 100.77平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_uHaalROVw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大国香山 视野开阔 采光充足 看花园 精装大五房,600万,高楼层                                    (共41层)                                                                      | 2015年建 |                                5室1厅 | 88.9平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_a5J4Dvjbb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期南向看樟树布花园 高楼层 景观视野好,650万,高楼层                                    (共44层)                                                                      | 2017年建 |                                4室2厅 | 125.37平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_MRkTTF8wL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里三期 2室2厅 东南,280万,低楼层                                    (共46层)                                                                      | 2016年建 |                                2室2厅 | 63.07平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/6ccd9e47-190d-4b4f-881e-30ea68eb4d4d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,油画苑 简装东南向大两房 满五红本税少 双阳台对流,360万,中楼层                                    (共21层)                                                                      | 2010年建 |                                2室2厅 | 87.46平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-cdac0a50-bb1d-4149-8ffa-fcfbe38c872e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,大族河山精装四房，高拓空间，保养好，东南朝向,588万,低楼层                                    (共33层)                                                                      | 2015年建 |                                4室2厅 | 88.84平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/pc1_TRWHClTkB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,近万象汇，公园脚下，中式装修，中间楼层看山景,659.8万,低楼层                                    (共33层)                                                                      | 2014年建 |                                4室1厅 | 135.76平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-04ba895e-fc1a-4c3c-8aa3-8b709f31b591.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期南向看樟树布花园 高楼层 景观视野好,688万,中楼层                                    (共44层)                                                                      | 2017年建 |                                4室2厅 | 125.37平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_Rg5vtLJuz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,高层无遮挡，南北通，看山景，视野开阔,650万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室1厅 | 131平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-a14e8060-0524-4965-8957-1a53c09f4213.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,近罗湖朝南大两房，中间楼层，满两年税费低,350万,低楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 75.3平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-dfa82947-07cc-43e0-8926-13c0bcd562a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,近地铁口，出行便利，户型方正，住家舒适,370万,中楼层                                    (共21层)                                                                      | 2010年建 |                                2室2厅 | 87.46平米                                  | 东 东南,http://ke-image.ljcdn.com/440300-inspection/prod-0ad22ab2-bd83-42d7-b96f-57b8f4cd229c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万象汇旁全新毛坯四房，高楼层 户型方正实用 格局好,580万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室1厅 | 115.42平米                                  | 西北 北,http://ke-image.ljcdn.com/440300-inspection/prod-4b68f9fc-f97d-444d-a533-bd72077e30e0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年住宅，精装修，求水山公园脚下，环境好。,650万,中楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 130.77平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-93c6732d-02af-4a68-b3f8-fa40ccd71cfa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房是红本，满五年的，高层看山景,650万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 141.49平米                                  | 东 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WqNIuEPqf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园里大四房，朝公园看荔枝公园,800万,高楼层                                    (共37层)                                                                      | 2016年建 |                                4室2厅 | 150.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dby8ioL2N_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大二期精装五房，看房有钥匙，南向,810万,低楼层                                    (共40层)                                                                  5室1厅 | 171.25平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-059bb888-e78d-465d-970a-7442b086339f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,布吉文峰华庭 全朝南大四房 看山景,650万,高楼层                                    (共33层)                                                                      | 2014年建 |                                4室2厅 | 141.49平米                                  | 东 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_iDHxPQB8w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
