20210128,龙岗区,布吉石芽岭,满五年，一梯二户，南北通，厅出阳台，通风采光好必看好房,430万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 77.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_udlLYaJ58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一 厅出阳台 中间楼层 宽敞明亮  南向,500万,低楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 98.77平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_OUuhqk9rC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境 满5年唯一物业 红本在手 客厅出阳台必看好房,419.9万,低楼层                                    (共34层)                                                                      | 2008年建 |                                3室2厅 | 76.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_oGP9RHS3n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑 中间楼层 实用两房  业主实在卖,288万,低楼层                                    (共6层)                                                                      | 2002年建 |                                2室2厅 | 56.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WafFEmkFK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五不唯一， 单证 红本在手 ， 看山景 可拓5+1房。,950万,低楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 124.6平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_lGyVfRL3j_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房是满五年唯一，高楼层，视野开阔 户型方正,500万,中楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 83.08平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/e3fb56bc-6cbf-44c4-ba25-60c486b0f7b4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭片区中海怡瑞山居电梯两房,330万,高楼层                                    (共29层)                                                                      | 2007年建 |                                2室1厅 | 66.72平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/8516b559-6615-4ee0-bf09-2681d56cb645_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年，唯一，红本在手，三个阳台,500万,中楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 94.15平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-b6988c36-f8cf-4b22-9c7f-07b376e0f55f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,地铁口，诚心出售，精装修，直接入住,488万,中楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 66.46平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_WHd4W0MQ6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五唯一，免个税，免增值税，户型格局好,400万,中楼层                                    (共8层)                                                                      | 2000年建 |                                3室2厅 | 82.17平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/683d2ac5-2c34-4b4a-8402-5e76b6899e74_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期电梯两房 朝南看花园 厅带超大阳台 近地铁口,450万,高楼层                                    (共11层)                                                                      | 2008年建 |                                2室2厅 | 74.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_4Vm8RuLn7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,尚峰好房，精致南北通大五房，前看山景后看花园,1050万,中楼层                                    (共32层)                                                                      | 2016年建 |                                5室2厅 | 115.64平米                                  | 西南 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_pQtCDeC7B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,精美装修 方正大三房 客厅带阳台且正朝南 满五唯一,550万,低楼层                                    (共29层)                                                                      | 2014年建 |                                3室1厅 | 89.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_tYwujJnXb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭中间楼层满五实用两房 看得见的实惠！！！,270万,中楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 65.42平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_qC0akMKuD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,西南看山，楼层好，毛坯，采光充足，看房方便。必看好房,720万,中楼层                                    (共32层)                                                                      | 2016年建 |                                4室2厅 | 89.03平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5K9YgWRfP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,健康花城经典高拓展朝南看花园4房2卫，采光充足,900万,中楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 129.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4gnlZ6pNw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一高楼层电梯三房诚心出售,450万,高楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 103平米                                  | 东南 南 西南,http://ke-image.ljcdn.com/440300-inspection/test-76356f7f-669f-4461-8c45-ea2f42089bb0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一 少量欠款 业主诚心出售,600万,低楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 103平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/c5c19f95-97d4-4286-b98e-34add192c21a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年  税费少 高层视野开阔  户型方正,420万,高楼层                                    (共34层)                                                                      | 2008年建 |                                3室2厅 | 78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ftIcvbJDm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,怡瑞山居 正南朝向 2+1房 带露台，带花园 使用率高,367万,低楼层                                    (共7层)                                                                      | 2007年建 |                                3室1厅 | 68.37平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9vS8CSUJk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源四期景园 精装修 厅出阳台 税费少,460万,低楼层                                    (共19层)                                                                      | 2008年建 |                                3室2厅 | 92.6平米                                  | 西北 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fs2YC7XXu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,次新房 满两年 税费少 安静舒适 采光充足 中高楼层,295万,高楼层                                    (共27层)                                                                      | 2016年建 |                                2室2厅 | 62.64平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/5668e070-e15b-43d9-9f47-bb49c47e78ff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年了 电梯三房 业主实在卖  看房方便,450万,低楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 94.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YlmNJq5Yp.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五年 红本在手 看花园看山景  位置安静,950万,低楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 140.79平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-9325c5cb-9088-4a83-938e-644536c0a869.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭山脚下 精美朝南两房 总价低 上车盘,270万,低楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 56.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2c4059d3-de7b-4e00-ab48-6f466abca632_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五唯一税费少，中间楼层，采光视野好！,300万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 57.21平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_SBJXMHkBW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,电梯朝南两房，厅出阳台，采光 通风好，,385万,中楼层                                    (共11层)                                                                  2室2厅 | 78.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8PHO7DkX0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭片区中海怡瑞山居电梯三房厅出阳台，视野开阔。,400万,高楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 83.32平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/dce102a9-b63f-4ff6-a961-b033a51adbdf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,原始2房户型，格局分布合理，自带地下室车库。,300万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 64.57平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/e9d0899b-1a89-4268-b56c-7b1cc8c3b049_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,业主自住 精装修 小区正中间 双阳台 前后看花园,1200万,高楼层                                    (共33层)                                                                      | 2017年建 |                                5室1厅 | 143.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_5NLUxgQLo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,方正两房 南向 唯一房产 红本在手 拎包即可入住,360万,中楼层                                    (共7层)                                                                      | 2007年建 |                                2室2厅 | 69.03平米                                  | 东南 南 西南,http://ke-image.ljcdn.com/110000-inspection/f76e9cc0-5beb-401f-8831-7a9a5ce3a4ad_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭站怡瑞精装三房朝南向业主诚意出售首付126万起,500万,中楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 98.77平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c9a84d2f-ea3c-4dd0-9bbe-6acc69e86611_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞 电梯阔绰三房  环境舒适 看房方便必看好房,390万,高楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 98.77平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ADrc4EwLQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,去年交的楼，满两年 次新房 税费少 安静舒适 采光充足,270万,中楼层                                    (共27层)                                                                      | 2016年建 |                                2室1厅 | 58.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kuskWf8Os_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭大三房小区中间位置彩光好社区大适合居家,520万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 103平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_f28NmDHOW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子精装修，地中海风格，户型通透，业主诚心出售,650万,中楼层                                    (共30层)                                                                      | 2016年建 |                                3室1厅 | 74.59平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_AP2EVwJZ6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉万隆苑顶楼带扩展 业主诚意出售,312万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 65.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_t1l8IyUnL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,宇宏健康花城 朝南五房 视野开阔  户型格局通透,1200万,中楼层                                    (共32层)                                                                      | 2017年建 |                                5室2厅 | 142.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_tqxa6Ytip_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一，红本在手，南北通透户型，通风采光好,550万,低楼层                                    (共29层)                                                                      | 2014年建 |                                3室2厅 | 89.56平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_t3BrS1jX9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年唯一红本税费少过户快户型方正采光通风好,450万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 85平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/e340fa49-2b79-4552-96fa-451bda660a9a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,全明格居，住家舒服，业主诚心放卖,600万,中楼层                                    (共29层)                                                                      | 2014年建 |                                3室2厅 | 89.86平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_RYwHuO91v.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期 2室2厅 南,450万,低楼层                                    (共22层)                                                                      | 2008年建 |                                2室2厅 | 81.54平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_xbq5ccgZ0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房采光好，户型方正，业主出售中,395万,高楼层                                    (共7层)                                                                      | 2007年建 |                                3室1厅 | 85.96平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ztl3I4XYj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,新房 新装修 朝南两房 税费少 通风彩光视野好,320万,高楼层                                    (共27层)                                                                      | 2016年建 |                                2室1厅 | 58.69平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_yNnWr9SzF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,尚峰好户型，房间采光很好，通风很好。,720万,中楼层                                    (共32层)                                                                      | 2016年建 |                                4室1厅 | 88.57平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/3c9ca1c0-252a-493e-ad59-7071d1e59c8b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城花园中间三房 实用高 诚心出售 满五年,590万,中楼层                                    (共11层)                                                                      | 2008年建 |                                3室2厅 | 113平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MDxFvHH43_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,高楼层、南向、看花园、大四房、精装修,910万,中楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 129.96平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_L5atBo8pv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境精装四房 南北通透  客厅出阳台 税费少,550万,低楼层                                    (共34层)                                                                      | 2008年建 |                                4室2厅 | 87.28平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/pc1_CaEKb2ZVR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,厅出阳台，房间开阔，两卫设计，居住舒适，环境优雅。,500万,低楼层                                    (共11层)                                                                      | 2002年建 |                                4室2厅 | 110.18平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rOR9tE5Uu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,客厅出阳台大三房 满五唯一 红本在手 顶楼,410万,高楼层                                    (共7层)                                                                      | 2007年建 |                                3室1厅 | 85.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6n9jqUOXd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉次新房 满两年 税费少 安静舒适 采光充足,280万,中楼层                                    (共27层)                                                                      | 2016年建 |                                2室1厅 | 62.42平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_VcfXXnlVk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城精品房源，83平舒适三房，户型方正,450万,低楼层                                    (共18层)                                                                      | 2008年建 |                                3室2厅 | 83平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-9ff3763f-46c2-477f-8a9b-05a3ee29c738.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,鸿荣源尚峰 三房毛坯 看泳池 有钥匙,645万,中楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 77.78平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-f635f39d-2c9c-4a89-bd19-4e35f0bcc160.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,高楼层，看花园看山景 视野宽阔。满五不唯一新上,999万,中楼层                                    (共32层)                                                                      | 2011年建 |                                5室1厅 | 140平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ysGwCgMld_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城一期！近地铁 精装大4房 户型方正 满5年,720万,低楼层                                    (共18层)                                                                      | 2006年建 |                                4室2厅 | 119.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_SMkLMQJCo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站华浩源精装两房宜居舒适方正实用,400万,中楼层                                    (共10层)                                                                      | 2007年建 |                                2室1厅 | 82.39平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dXkLPqzDT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭 人车分流小区，户型方正 满五年,350万,中楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 66.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rOoMEqrnc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭慢城三期小户型朝南向安静看山景,290万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 54.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YVBMXwlNz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,：此房南北通，高楼层，大户型，格局好，使用率高必看好房,730万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室1厅 | 88.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_FKb6x7UC7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑 2室1厅 南,360万,中楼层                                    (共8层)                                                                      | 2002年建 |                                2室1厅 | 66.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/bb250bbc-8433-46a5-bf52-3942db67d7b4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭精装2房，高楼层采光充足，通风好,350万,高楼层                                    (共7层)                                                                      | 2006年建 |                                2室1厅 | 63.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_D0Ti10YQw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五少税费，使用率高，，，,700万,低楼层                                    (共32层)                                                                      | 2011年建 |                                3室2厅 | 89.76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ujbbt6ZM5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站物业明年3月满五年中间位置安静朝南,400万,低楼层                                    (共6层)                                                                      | 2007年建 |                                2室2厅 | 82.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ykhjb7UcH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房业主诚意出售，满五年，唯一物业，税费少,320万,中楼层                                    (共8层)                                                                      | 2002年建 |                                2室1厅 | 67.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oJHACb0qn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源花园中间大三房，满五年红本在手，业主诚心放卖必看好房,550万,中楼层                                    (共6层)                                                                      | 2007年建 |                                3室1厅 | 125.14平米                                  | 南 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_AN9LKifim_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站物业满五唯一南向业主诚心出售可议价,418万,高楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 81.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PCcd0ATHz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站物业景园带阁楼的户型实用三房满五年新上,450万,中楼层                                    (共18层)                                                                      | 2008年建 |                                4室1厅 | 73.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZCn8CnKBc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源A区 2室0厅 南,405万,高楼层                                    (共10层)                                                                      | 2007年建 |                                2室0厅 | 82.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wiLSgFIMd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房为华浩源复式，实用率高， 满五唯一红本,948万,低楼层                                    (共6层)                                                                      | 2007年建 |                                5室2厅 | 234.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_39GEObIJ5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,【此房免征增值税】半岛苑电梯复式，满五年免增值税,800万,高楼层                                    (共11层)                                                                      | 2002年建 |                                5室2厅 | 171.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ItjQ29Tqo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉慢城14号线地铁口实用三房必看好房,360万,中楼层                                    (共7层)                                                                      | 2006年建 |                                3室1厅 | 83.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_e0iXkGos4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭公园龙园带花园靠山环境优美适合居住,1380万,低楼层                                    (共11层)                                                                      | 2008年建 |                                5室2厅 | 168.11平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vFNNw78qp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭红本满五唯一万隆苑精装两房。,320万,低楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 64.7平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_T10PGI7Hc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年唯一 大露台 采光好视野好 低楼层,730万,低楼层                                    (共32层)                                                                      | 2016年建 |                                3室1厅 | 77.87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_CIxhi7Qkt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,户型方正，满五税费少，朝南高楼层采光好。,500万,高楼层                                    (共11层)                                                                      | 2005年建 |                                3室2厅 | 103平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YQXG61Oi1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五年、红本在手、唯一物业、税费少、南北通,650万,中楼层                                    (共4层)                                                                      | 2006年建 |                                3室2厅 | 108.36平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ffAGI70zg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期 2室2厅 南,450万,低楼层                                    (共22层)                                                                      | 2008年建 |                                2室2厅 | 81.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_e3vQ7FR68_3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙岗 布吉 华浩源精装修大五房 朝南看花园 满五唯一,870万,高楼层                                    (共9层)                                                                      | 2006年建 |                                5室2厅 | 167平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_SyIZbzHP0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年，红本在手，南北通，视野宽阔，拓展面积不错,930万,高楼层                                    (共4层)                                                                      | 2006年建 |                                4室2厅 | 137平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YjPcOtUPA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭花园式大小区 电梯好房 品质之选！！！,430万,低楼层                                    (共33层)                                                                      | 2008年建 |                                3室1厅 | 84.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_22QdO4G6I_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭欧式花园小区 电梯房好楼层 打造您的理想家园！,130万,低楼层                                    (共33层)                                                                      | 2008年建 |                                1室1厅 | 26.39平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cprWXgOoe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭公园龙园带花园靠山环境优美适合居住,1160万,低楼层                                    (共11层)                                                                      | 2008年建 |                                5室1厅 | 183.26平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/de210f0c-e408-4a27-8e1a-27ac32896711_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,地铁口电梯5房大户型，业主诚心出售，红本在手税费少,1250万,低楼层                                    (共17层)                                                                      | 2006年建 |                                5室2厅 | 167.93平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IIIooa79g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,户型方正厅出阳台，采光好，精装修,670万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 89.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9C4IQt2Jy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
