20210128,福田区,新洲,福田新洲7号线沙尾地铁口两房出售必看好房,600万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 73.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/446a2f5f-1c91-4e43-afab-84322363ffb6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田体育公园旁地铁7号线沙尾站必看好房,550万,高楼层                                    (共8层)                                                                      | 1996年建 |                                3室2厅 | 80.02平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-c687a044-4ed4-49bc-8bde-3f2a3425b3e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,66+6 2+1房，满五唯一税费少新装修必看好房,579万,低楼层                                    (共30层)                                                                      | 2006年建 |                                2室2厅 | 65.1平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/891051d5-8c96-432a-9034-efd2f8f0a515_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年免增值税，全优品质精装，阳台看高尔夫景观必看好房,603万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 64.32平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/6fd39671-9f68-451c-87b9-bd0f1186b488_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田上沙地铁口，北看高尔夫公园，满五唯一必看好房,687万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室1厅 | 86.95平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/6d1b9e99-7cd9-4f23-898d-9cb7e0cb95ad_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,方正大两房，满五税费少，诚心出售必看好房,565万,高楼层                                    (共20层)                                                                      | 2006年建 |                                2室1厅 | 79.61平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/3524ab06-4559-4906-85c2-176f0e897100_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地铁口全南大三房，格局超A 满五年唯一，高层看海,816万,高楼层                                    (共32层)                                                                      | 2007年建 |                                3室1厅 | 98.2平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/587053fe-bb56-4ed3-8f47-9514b7ff3423_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,此房满五唯一，高楼层无遮挡可看海景,849万,低楼层                                    (共32层)                                                                      | 2008年建 |                                2室2厅 | 73.41平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/1ffe67d6-6cd0-4ede-984e-7ce3c3793e9e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主诚心出售 生活配套齐全 满五年,430万,低楼层                                    (共33层)                                                                      | 2007年建 |                                1室1厅 | 45.95平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/07e128cd-64ff-43f8-b4e8-c37362dc9638_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园方正一房一厅，满5年，业主诚心出售,375万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 41.48平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/fa0eca53-d60f-403b-aefc-f8ba28564970_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房子满五年唯一无个税，高尔夫景观房，地铁口物业,880万,中楼层                                    (共29层)                                                                      | 2005年建 |                                4室1厅 | 110.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/b02f3aff-b518-45aa-bf82-e82c8e73dfb0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一税费少  居家装修  南向视野无遮挡,920万,高楼层                                    (共33层)                                                                      | 2000年建 |                                4室1厅 | 111.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wMQ3b4B4Z_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主诚心出售此房 看房方便 满二年,410万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 50.07平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/b81a186c-6ff6-4a6f-a7c7-2546aaca7302_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,西南朝向地铁口物业，此房已满五年，业主诚心出售！,338万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室0厅 | 38.95平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/f00b8e37-efc5-4dd1-ace2-87fc90d423d4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一税费少，自住装修保养好看房方便,625万,低楼层                                    (共30层)                                                                      | 2006年建 |                                2室2厅 | 66平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/aa768235-54f5-4140-966c-9d26da614ef3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层 看购物公园景观   4.5㎡露台  采光通风效果好,450万,高楼层                                    (共33层)                                                                      | 2007年建 |                                1室1厅 | 46.17平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/d7d58dd0-6a25-4b8e-b65a-d565230b5604_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房子满五唯一，无增值税，业主自主，装修好， 诚心卖,416万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 48.49平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/7e04346a-8339-4f46-84c7-0c06186f61ee_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,中高楼层 格局设计好 采光和通风好，精装两房，,275万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.02平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/b60a3ce1-6545-43f1-a583-861871e6028a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,红本在手，户型方正，高楼层，诚心出售。,245万,高楼层                                    (共27层)                                                                      | 2012年建 |                                1室0厅 | 40.24平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/7f0d57e9-e7b2-41a0-8eb6-f681dd965824_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑 1室1厅 西南 西,280万,中楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 35.79平米                                  | 西南 西,http://ke-image.ljcdn.com/110000-inspection/63d30a79-f5d7-4a64-9809-b3eb8e27de22_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田新洲次新房，带阳台，通燃气，住家氛围活跃,290万,高楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.07平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/7352796c-89f9-49bb-81ce-7e8c8d178c2e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一红本税费少 视野景观好,610万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 63.36平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/7cbe2fda-eba1-4736-af7d-f3576d6b03a6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,安静南向三房，视野好，价格真诚 装修保养好 各付各税,788万,低楼层                                    (共33层)                                                                      | 2000年建 |                                3室2厅 | 95.88平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/d694c3da-8129-46ed-8dfb-e0c0e1c7b583_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,星河雅居 高楼层安静 装修保养好 业主诚心出售,875万,高楼层                                    (共33层)                                                                      | 2000年建 |                                3室2厅 | 103.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/e5eb42bd-e644-4549-a405-12b6eaafab33_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,方正一房一厅，带燃气，有阳台。,270万,低楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 35.79平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/c0c87249-9bf0-45ff-af82-bc07973b6f0f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲一房一厅，有阳台 业主诚心出售,310万,低楼层                                    (共32层)                                                                      | 2003年建 |                                1室1厅 | 36.82平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/4e8d55f7-7a42-42e7-9a86-7ef3459437f2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,7号线沙尾站楼上 精装一房，双阳台， 诚心卖！,430万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 50.13平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/799f933f-fc11-4142-be5f-bde042b5dc63_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园一房一厅可/改两，随时可看，价格美丽必看好房,348万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 47.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/0324f7b5-b8c0-46a0-a95c-206707281582_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,运动家园 三房朝南  满五唯一  业主诚心出售,710万,低楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 89.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/7a9f593f-e8e8-4a89-84b9-9be64526f1a9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,7号线沙尾地铁口，高层朝花园安静，诚心出售必看好房,410万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 48.53平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/b740f6ae-7e89-4d90-8218-4f3bb52ecc6b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,南向 安静看花园 两居室 户型方正 诚心出售,535万,低楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 59.71平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-5d58f2d2-2ea5-4c3b-9a1f-498b400b03d9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,7号线沙尾站 客厅看草坪 户型方正  满二,608万,低楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 79.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f7b46ebe-92bb-463b-a87e-957947778782_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,刚需上车2房、装修好、采光OK 、业主靠谱,399万,低楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 41.04平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/e100b8e3-6031-444d-bf43-3f4329854dee_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,社区安静大两房，近地铁，大型超市,625万,高楼层                                    (共30层)                                                                      | 2006年建 |                                2室2厅 | 65.72平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/11b027c1-4dac-492d-8383-8752c167a738_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主可考虑出增值税   地铁口物业  小两房总价低必看好房,500万,中楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 57.55平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/53219277-eaae-40f2-9148-da4dfd58b1cd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地铁口物业大阳台正规两房诚心出售必看好房,510万,低楼层                                    (共30层)                                                                      | 2006年建 |                                2室2厅 | 53.28平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/af82fecc-06a0-45a7-8e2e-6ad6847316ec_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田70年产权精装修小两房，通燃气带阳台，宜居,285万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.02平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/be186d9b-da01-4220-9abf-2937dcfb58e9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年唯一住房，诚心卖，朝东看小区，安静。,980万,低楼层                                    (共14层)                                                                      | 1999年建 |                                3室2厅 | 129.12平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/42bebcbd-879d-4319-a1ce-bdc3caaa1be9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房源户型方正、格局好、东南朝向通风好、视野开阔。,799万,中楼层                                    (共32层)                                                                      | 2007年建 |                                3室2厅 | 98.2平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/08ed27cd-5d88-492d-9ac7-833900880ef5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,少有厅出大阳台还是南向的小单间,330万,高楼层                                    (共30层)                                                                      | 2006年建 |                                1室0厅 | 31.58平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/8fe5896a-df3a-42aa-a273-163b60ffdebd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,中楼层 格局设计好 采光和通风好，精装两房，必看好房,275万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.24平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/a631cc64-d9b3-48ce-afca-481eb93d1e56_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,次新楼盘 装修好 户型方正 车位充足,865万,中楼层                                    (共30层)                                                                      | 2012年建 |                                3室2厅 | 92.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/f7c5d29c-132b-487b-9ac9-5b0ac2fe6d9c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层南向，格局方正，诚心出售！红本，满5年唯一,1390万,高楼层                                    (共33层)                                                                      | 2005年建 |                                3室1厅 | 116.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/407c72bc-5e46-4620-9e47-64a887aaed62_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲大厦花园社区，精装修业主诚心出售！,700万,高楼层                                    (共33层)                                                                      | 1996年建 |                                3室1厅 | 108平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-f17581f5-2c4c-49dc-a8c9-e300168f4991.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,南北通大三房，实用率高，2007年建成小区，两梯三户,1000万,高楼层                                    (共30层)                                                                      | 2007年建 |                                3室2厅 | 121.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/3bbca5db-7767-40f0-b0af-904019d38d18_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,看花园，户型方正带大露台，南北对流通风好必看好房,758万,低楼层                                    (共32层)                                                                      | 2008年建 |                                2室1厅 | 68.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/a562ccd6-19ff-4753-9c7f-a4284e7a3751_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,户型方正实用，高楼层视野好，适合居住,815万,高楼层                                    (共32层)                                                                      | 2007年建 |                                3室1厅 | 95.81平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/7dedba30-663e-4065-8e88-3f0bc98d3e43_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房子楼盘新，精装修，可直接入住,880万,中楼层                                    (共32层)                                                                      | 2012年建 |                                4室1厅 | 81平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/138d4665-1826-4d75-912c-71f102d60808_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,格局方正，面积实用，满五唯一。,700万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室1厅 | 85.7平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_TkmeNzo2s.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田体育公园旁的精装的刚需一房,360万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 56.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/511e892a-dbef-410f-a9ce-11587736b38d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层朝南无遮挡房间和窗户均不朝新洲路滨河路,580万,高楼层                                    (共33层)                                                                      | 1996年建 |                                3室1厅 | 91.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/c92ad7e7-67d3-4733-a8e0-273d9ef15bb4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一红本房，双阳台的一房一厅，高层看平安大厦,450万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 51.45平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_xXtkmc1un_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,正规一房一厅，70年产权，民用水电。,300万,高楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 35.79平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/5d2ab56b-54b7-4450-ac11-88535a532a3e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,70年产权复式，朝南高楼层，舒适小两房，纯毛坯。,250万,中楼层                                    (共20层)                                                                      | 2013年建 |                                2室1厅 | 28.47平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/fcd6e910-1099-4573-af09-d11cd5bb4fb7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑南向一房 方正实用 采光好,285万,中楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 35.79平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/3a0e67b8-5388-40f1-9ff3-5ab37bd90fcd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲大厦 视野好 大三房 花园社区,750万,低楼层                                    (共33层)                                                                      | 1996年建 |                                3室2厅 | 108.81平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-83501dc3-5296-4840-bc30-b49119fb8b6c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,楼龄新 主要是安静舒适 看房方便 户型方正 实用面积大,230万,低楼层                                    (共27层)                                                                      | 2012年建 |                                1室0厅 | 40.21平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-f6276c49-daa7-406d-be8b-9fa8050e3d2b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五，拎包入住，通风采光好，楼层好,410万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 49.93平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/b6a934ad-8f10-470e-86c2-e0184cfa2222_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,朗晴馨洲 2室2厅 西北,560万,高楼层                                    (共32层)                                                                      | 2003年建 |                                2室2厅 | 65.24平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/3dfc6f39-51c0-4d73-bfeb-db2d8d7fb18a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,体育公园旁，地铁口，满五年，红本在手,300万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 41.58平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-eb89e90d-663f-4235-9da5-97181213ef6e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,蜜源端头位2房 高楼层全采光 满五年，,550万,高楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 61.6平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-9689b058-f227-49de-a9fb-d0dbf738fb15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主买了满五年，户型通风好 住家舒适，花园小区,750万,高楼层                                    (共8层)                                                                      | 1997年建 |                                3室2厅 | 94.8平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-6ab72057-4766-4fbe-a916-f30afbc0355e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,花园小区，停车位充足，户型方正,850万,低楼层                                    (共30层)                                                                      | 2012年建 |                                5室2厅 | 109.14平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-730dd430-246a-40fb-b715-6443c2b54ebd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层精装修，得此一居，快意人生！,268万,高楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 41.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_S9xaSZLmG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,2013年次新房 三房两卫带精装 业主诚售,845万,高楼层                                    (共30层)                                                                      | 2012年建 |                                3室2厅 | 92.27平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/test-144e1af8-9948-423d-89b5-cf5c10e8df0d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑精装小两房，户型方正，家私全齐，拎包入住,300万,高楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.24平米                                  | 西,http://ke-image.ljcdn.com/440300-inspection/test-25197eb3-1d20-4007-824b-81c52c58a4ec.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑 精致大开间 北向 诚意出售,225万,高楼层                                    (共27层)                                                                      | 2012年建 |                                1室0厅 | 40.23平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-8c098c17-4ae2-480c-a5ec-6f585054e47e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房子使用高，红本在手，不需要购房资格,300万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41.24平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/c283d733-ac26-41a9-a4a2-5a78ea8b699c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲公馆 方正一房 次新楼盘 诚意出售,270万,中楼层                                    (共27层)                                                                      | 2012年建 |                                1室1厅 | 35.79平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/prod-2bd18b48-8b1c-42d4-9106-f368d3ede682.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,12年次新房，南向户型好，有钥匙，红本在手，停车方便必看好房,276万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 40.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/5a1a67de-da05-4447-aba9-3ea5ee442a6c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,精装复式  70年产权 实地更漂亮必看好房,295万,中楼层                                    (共20层)                                                                      | 2013年建 |                                2室1厅 | 34.15平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/44d9c332-6977-42a8-be87-6d930a1f6ce2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,13年端头复式 明厨明卫双卫 高层东向无遮挡！必看好房,538万,中楼层                                    (共20层)                                                                      | 2013年建 |                                3室1厅 | 52.22平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/3649434e-ee70-4eca-ae01-0e15cddde48a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉葆润金座 2室1厅 北新上,305万,低楼层                                    (共20层)                                                                      | 2013年建 |                                2室1厅 | 35.75平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/pc1_q4bO9u9J4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主诚意出售 精装三房 东南向,710万,中楼层                                    (共32层)                                                                      | 2003年建 |                                3室1厅 | 86.52平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/539067e2-0174-4027-b371-ddfd6f7f8777_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,舒适、宜居、安静大两房！！！！,680万,中楼层                                    (共33层)                                                                      | 2000年建 |                                2室1厅 | 77.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/a5e49ed0-508f-47d9-b790-d8588da17c94_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉葆润中空，正南向大3房2卫，过户价过户税费低。,600万,低楼层                                    (共20层)                                                                      | 2013年建 |                                3室2厅 | 67.66平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/9a50f9ea-9fd2-4c89-bdea-390e129471d4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,安静装修好小两房，次新小区，环境好,280万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 39.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/644e4d9c-1bce-4d56-b187-7ab9c9468558_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑 2室1厅 南,282万,低楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/4945050d-76fd-447d-8d71-d6c8059e347f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,朗晴馨洲 满五年唯一 税费少 实用率高 诚心出售必看好房,668万,中楼层                                    (共32层)                                                                      | 2003年建 |                                3室1厅 | 80.4平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/5bf56a87-32e3-4a46-beca-960901c0a985_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,户型方正实用南北通透 地理位置好 配套齐全，诚心卖,800万,中楼层                                    (共13层)                                                                      | 1998年建 |                                3室2厅 | 98.06平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/0293d01b-1d79-4c2d-ab35-ce233f349547_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田复式五房带露台，住家装修，改善必看,1500万,高楼层                                    (共9层)                                                                      | 1998年建 |                                5室2厅 | 160.43平米                                  | 南 东南,http://ke-image.ljcdn.com/110000-inspection/b22c951f-07be-4111-80b2-02294d99e13a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,嘉洲富苑 1室0厅 北,260万,高楼层                                    (共27层)                                                                      | 2012年建 |                                1室0厅 | 41.74平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/031a37e1-148d-41c8-a522-48bdbdb4c155_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲牌坊方正两房，满五年唯一，业主诚心出售,585万,中楼层                                    (共32层)                                                                      | 2003年建 |                                2室2厅 | 64.48平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/fc84d375-45c0-44bc-81ca-ce5794a4edaf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
