20210126,白云,夏茅,富力城南区  望小区花园，安静，保养好，自住,242万,中楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 83.62平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1GqJQ5ggv.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格   地铁14号线鹤南  设计之都西侧  精装一居,155万,高楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 48.32平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_6lmb755XW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 东南向小两房 户型通风,210万,低楼层                                    (共18层)                                                                      | 2009年建 |                                2室2厅 | 76.84平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_jy3h5mvjk.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,高层保养好 两房 采光充足 方正,230万,高楼层                                    (共17层)                                                                      | 2007年建 |                                2室1厅 | 82.59平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_0oCnB15W0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 精致二房 安静舒适,235万,高楼层                                    (共18层)                                                                      | 2006年建 |                                2室2厅 | 83.88平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/pc1_T88Gmyi1G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,白云区富力城北区精致三房拎包入住！,285万,低楼层                                    (共12层)                                                                      | 2008年建 |                                3室2厅 | 93.63平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_ewkPKQPBG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 户型方正大四房 保养好 满五唯一,470万,中楼层                                    (共18层)                                                                      | 2005年建 |                                4室2厅 | 151.04平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/prod-b4f8ae37-87c2-47fd-a98c-8537bcbc1bbb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,花园中间两房 带入户高层保养好 东西对流,250万,中楼层                                    (共17层)                                                                      | 2007年建 |                                2室1厅 | 80.03平米                                  | 东 西,http://ke-image.ljcdn.com/440100-inspection/prod-32eeded7-ecfa-4240-b319-97689e913471.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 温馨四房 格局方正 适中楼层 东南 光线好,600万,中楼层                                    (共24层)                                                                      | 2013年建 |                                4室2厅 | 143.14平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-c87a32c2-bf2a-4faa-ad52-7e8514a6115f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格  电梯房 中层大四房 朝向好 通风光线足,500万,低楼层                                    (共24层)                                                                      | 2013年建 |                                4室2厅 | 143.14平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-604bf1a4-b881-48dd-b41d-c4d8019d3db8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 带入户  精装高层望小区,280万,中楼层                                    (共12层)                                                                      | 2008年建 |                                3室2厅 | 93平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-c103aefe-7716-42cb-90c9-edf39e48c203.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 带入户  精装高层望小区,220万,中楼层                                    (共12层)                                                                      | 2008年建 |                                2室2厅 | 80平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-a186f65f-5833-4b8f-be56-2b966fcec761.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城  望湖观景 格局方正 精装两房,222万,低楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 82.36平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-0166aeec-0c1f-4d2a-ba03-78416cba6bc9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,阳台东南向望花园通风采光好，南北对流户型，使用率高,210万,低楼层                                    (共18层)                                                                      | 2009年建 |                                2室2厅 | 76.84平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-9fb26e4c-0ab3-4eb8-8e2b-f8ecf5f75b33.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南向五房 舒适宜居,580万,低楼层                                    (共17层)                                                                      | 2010年建 |                                5室2厅 | 184.57平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-37327b72-50f7-4555-8066-f16fb3d01176.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南向方正 两套打通与01打通,230万,中楼层                                    (共18层)                                                                      | 2006年建 |                                2室2厅 | 82.81平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-799e54f5-4814-442e-a5eb-4267e9dee579.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,中高楼层，户型方正，采光好，通风好,255万,中楼层                                    (共17层)                                                                      | 2010年建 |                                2室1厅 | 84.04平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_Vh10mmbQP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,大三房户型方正 望公园 无遮挡视野好 采光通风好,420万,中楼层                                    (共18层)                                                                      | 2005年建 |                                4室2厅 | 124.94平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_EOhBOg5xc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南区两房 高层景观好,238万,高楼层                                    (共18层)                                                                      | 2007年建 |                                2室2厅 | 83.53平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_wtVFBD43k.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,拎包入住 天台花园 精致装修 保养好 改善型大户型五房,490万,高楼层                                    (共18层)                                                                      | 2005年建 |                                5室3厅 | 114.93平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/prod-bc62f264-153b-4c08-b6b6-1a57637cb270.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南区高层 精装复式,360万,高楼层                                    (共17层)                                                                      | 2008年建 |                                4室2厅 | 89平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-40f4efd1-c18f-4446-8302-c3067811516d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城  高层通风 精装复式,305万,高楼层                                    (共17层)                                                                      | 2008年建 |                                3室2厅 | 83平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/prod-26656fb1-3964-4bcf-918c-3625201e370a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,带小平台 改四房 方正实用 广州富力城 七字大阳台,375万,低楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 124.94平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/prod-e3d8ab71-2699-41a7-8dc4-7e778b7e3bad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,满五年唯一省税 次新房精装 省级黄边,310万,高楼层                                    (共24层)                                                                      | 2013年建 |                                2室2厅 | 85.79平米                                  | 东北,http://ke-image.ljcdn.com/hdic-frame/38c1f496-2575-4eb2-86ce-ed76b00c7b44.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 阳台朝向好 通风光线足 格局好,280万,中楼层                                    (共11层)                                                                      | 2013年建 |                                2室1厅 | 89平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/a6ad2e9d-50d6-4b99-a3cf-f5177aa92337.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南区望花园 精装双卫大三房,336万,低楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 112.82平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/29062c8e-a070-470f-8629-374e90ddfe68.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 高层 东南向 大三房,320万,高楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 111.07平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/85ff2364-a10f-4314-a781-68a61c4cf6d4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,南区两房，户型方正，高楼层采光好,250万,中楼层                                    (共17层)                                                                      | 2008年建 |                                2室2厅 | 81平米                                  | 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,户型方正，双阳台，进出方便，主卧较大,220万,中楼层                                    (共17层)                                                                      | 2008年建 |                                2室1厅 | 81.09平米                                  | 西北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,富力城南区 大三房 保养好 安静舒适,360万,中楼层                                    (共15层)                                                                      | 2007年建 |                                3室2厅 | 115.86平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
