20210126,天河,棠下,南北对流东向单边位天台带大花园近地铁精装正规两房必看好房,148万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.5平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZYJqOKk6A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园精装南向满五唯一税费少,180万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 56.13平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_zKI9itYGN.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向小两房 望小区大花园 光线好 景观视野好,137万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 42.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BPcS8oelO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 正规2房 户型方正 实用率高 采光好通风,185万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室2厅 | 56.39平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_KoO6Ox8u1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 准电梯房 南北对流 单边 精装两房 价格可谈必看好房,200万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 61.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_W2TfkT6Bi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,满五唯一，视野开阔无遮挡两房，诚意出售,183万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 55.43平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_lxel5FZhD.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 低层带平台 方正舒适,300万,低楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 89平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_63LsuNdjJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 电梯两房 通风好 采光足必看好房,213万,中楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 69.77平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_JPupdr13J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园两房诚心出售 中间楼层 交通便利必看好房,190万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_DCzvOy36T.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 小户型 单边位 望大花园 采光通风好,97万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 28.5平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_sd3Lcbdmd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,优质刚需房源，采光好，楼层好，位置好，宽阔2房,190万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室2厅 | 62.71平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_McGwibaAW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室1厅 南,180万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 52.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_28S93ZMyQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 宜居小两房 阳台无遮挡  近地铁,175万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 51平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_coE68kPoM.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园，中高楼层近地铁居家两房。,195万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 63.31平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_gsj22sbjI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南北对流户型，通风效果好，看房方便,270万,高楼层                                    (共9层)                                                                      | 2000年建 |                                3室1厅 | 90.26平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_iSR0VnIki.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园纯南向采光好使用空间大,850万,低楼层                                    (共19层)                                                                      | 2003年建 |                                4室2厅 | 150.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UeZhFiuYE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 户型方正两房  准备装电梯 中高楼层,175万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 54.93平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xpUZVob8C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 3室1厅 南,182万,高楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 56.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2cgpErQ9H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,满五唯一，单价低，改造空间大，价格便宜,159万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 56.39平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_6MXwxQr5F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城盘交通便利好业主诚心出售,178万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.71平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_B0390HgHm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,车陂南金融城 棠东地铁站旁 少税好楼层 好房优选推荐,210万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_rkiw1f9J7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向三房 厅出阳台无遮挡 高层非顶楼,182万,高楼层                                    (共9层)                                                                      | 2000年建 |                                3室2厅 | 57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4SRdYWC3I.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 两室一厅 中楼层 视野好 近地铁,280万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 89.54平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_9ENFW88BO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,户型方正，南向阳台，光线不错， 证满2年,171万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 52.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_A0RBADQi7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,自带花园 居家装修 户型方正 通风采光好 无抵押,320万,中楼层                                    (共9层)                                                                      | 2000年建 |                                3室1厅 | 94.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_eQ18tPIQs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 中层一居室 视野开阔,132万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 40.26平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_3GM5yTZwr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,户型方正，特有户型，带有空中花园，光线充足,180万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.68平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_4lsWF1sUx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城棠东地铁站旁 好楼层 有钥匙方便看房 通透户型必看好房,188万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 65.75平米                                  | 东 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_40Hz6wb4c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向2+1房看花园 户型方正实用诚心出售,163万,高楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 56.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_1P5fLTrUc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中层两房，采光通风好，户型方正，无抵押,225万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 60.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GnPFa131P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,检察院宿舍 户型方正 安静实用三房 交通便利,350万,低楼层                                    (共12层)                                                                      | 1991年建 |                                3室2厅 | 84.12平米                                  | 东 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rSiOfta2z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南北对流 户型方正 望大草坪无遮挡 采光好 正规两房,256万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 61.79平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_190vseCPl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,原装电梯两房 南北对流 保养好 单价不到三万,210万,中楼层                                    (共29层)                                                                      | 2000年建 |                                2室1厅 | 70.85平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_I0aIwM0Xp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园，小区管理，户型方正，采光好，配套成熟,183万,低楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.63平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_B4lpN8XzM.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠东地铁 厅出阳台东南向两房 好楼层好位置 居家优选必看好房,213万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.26平米                                  | 南 东,http://ke-image.ljcdn.com/440100-inspection/prod-3687be69-c481-4d80-8c36-726313b1cedd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,低层南北对流   一梯三户   位置佳,218万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_2rWXKyxvV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,出入便利   位置佳   小区后期房子,185万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.63平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_Q5jaqRvNT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,户型方正，南向采光好，带私人小花园,235万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 75.81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_AO5mcR01J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,视野宽阔 采光好 格局方正 近地铁 生活交通便利,217万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_LVParEwgG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,间隔方正 厅直出大阳台 环境舒适,160万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 52.48平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_RKcVIeVil.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,远洋宿舍三房 业主心态好 诚心放卖，温馨舒适保养好,425万,中楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 77.44平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_GUwS99unX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,泰安望花园北向两房，装修保养好，业主诚意出售,240万,中楼层                                    (共9层)                                                                      | 1998年建 |                                2室1厅 | 59.69平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0mlXprbuZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装修南向正规一房 业主置换 产权清晰,176万,低楼层                                    (共10层)                                                                      | 1997年建 |                                1室1厅 | 44平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_rUSsJOrsk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 一楼望花园 可当商用 3.7米层高,162万,低楼层                                    (共9层)                                                                      | 2000年建 |                                1室0厅 | 46.67平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_5L4M24NcS.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,小区中层大三房 居家装修 带双卫生间 南北向,296万,中楼层                                    (共9层)                                                                      | 2000年建 |                                3室1厅 | 96.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yXINI3dNL.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,首层可用于  ,户型方正，南北对流,225万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.5平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_TcN2mPorV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装两房 采光通风良好 正在沟通加电梯中,180万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.68平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_0XL8TqBlR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房户型方正 一楼可以自住又可以兼做商铺,180万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.62平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_pMaoI9Nd4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 ，正规两房，交通便利。,185万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 61平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_QbXi4A4aY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,朝南户型 中高楼层 视野好 总价低 业主有诚意卖,183万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.7平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wFipX1E63_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 望花园两房  视野开阔,185万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.7平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_HxttDxuMF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠利大厦准电梯精装修高楼层三房，采光好，拎包入住。,350万,高楼层                                    (共9层)                                                                      | 1999年建 |                                3室2厅 | 92.79平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vvpI4VEOD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,飞机户型 视野开阔  高楼层 采光通风佳,188万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 56.65平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6EJVz6AwZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园中低楼层 格局方正 安静望花园 满五唯一,189万,低楼层                                    (共9层)                                                                      | 2000年建 |                                2室2厅 | 60.34平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_HglHPAv9a_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园精装三房，业主诚意卖，价格可谈。,290万,低楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 89.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_OZwLnUOYY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠下远洋宿舍 视野无遮挡 全明格局,251万,高楼层                                    (共9层)                                                                      | 1998年建 |                                2室2厅 | 73.56平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xtUly6tR4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中间楼层，南北对流，户型方正，卧室宽畅,165万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 53.85平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_sFwEtYfQq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 3室1厅 东,295万,中楼层                                    (共10层)                                                                      | 1997年建 |                                3室1厅 | 73平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_20PmzcvgZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,刚需物业   一房改两房   业主诚卖,130万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 46.07平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_sAFX2OZNR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室2厅 东南,250万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室2厅 | 89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_hWDh8Cf0h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装修 中间楼层 单边位置,215万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 59.1平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_C4uoio5ih_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南北朝向 低层大两房 带小花园 安静适合居住,195万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 63.74平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GglpGbn6M_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城板块，飞机户型利用率高，有电梯,267万,低楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 70.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_P0uXTKmKe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城 小户型 刚需户型 价格优惠 值得买,110万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 34.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LYc2b0keY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南北对流。四房带平台。保养好 。楼层低 。采光好,285万,低楼层                                    (共9层)                                                                      | 1997年建 |                                4室1厅 | 81.72平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_Whgylm1rI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向低楼层，厅出阳台布局合理，附有大平台,210万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 57.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_m7ozigCWf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园超大户型业主诚心出售......,1560万,低楼层                                    (共29层)                                                                      | 2000年建 |                                4室2厅 | 182.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_rgaTKbxlC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向大两房 户型方正 厅出阳台,229万,高楼层                                    (共9层)                                                                      | 1998年建 |                                2室1厅 | 71.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yi7kpL2nM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房业主诚心出售，南北通透，采光充足，配套齐全,210万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 65.74平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_yCkt4CRiU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园少有放卖户型 中层 安静 格局方正 南北通透,198万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 61.84平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_DA3grZ86U.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 方正两房 低楼层 随时可以预约看房,200万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6ZAWKvgS5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,小区环境好近西门市场 近公交 生活方便,195万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 64.84平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_63NsoEaFD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中间楼层，采光时间充足，户型功能间分区舒适,193万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.83平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Qgu9LgZN4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园经典小三房，实用性很好,320万,低楼层                                    (共16层)                                                                      | 2000年建 |                                3室2厅 | 82.92平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-32bf5d11-3de5-439d-8ae5-bf223f86aec8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 中楼层采光好 通风对流 近东门地铁 诚心出售,172万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.63平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_4wI0kPbmM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,泰安花园低层三房两卫 南向大阳台 21号线棠东地铁站,325万,低楼层                                    (共9层)                                                                      | 1998年建 |                                3室2厅 | 83.07平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_5DDrZVPlW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园 格局方正 视野开阔 业主诚心放售,365万,中楼层                                    (共16层)                                                                      | 2000年建 |                                2室1厅 | 77.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GS1Drrmqk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 南北对流 望大花园 视野光线好 满五年,225万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 61平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_XdeH7wxNd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园东御苑 精装四房 高层望江景 诚意出售,1280万,中楼层                                    (共29层)                                                                      | 2000年建 |                                4室1厅 | 177.75平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_IK9Rupt7K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 正南向两房 近地铁 中间楼层 精装修拎包入住必看好房,198万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 57.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_i3DljzC2m_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 未出租过 保养好 视野宽阔 业主诚心放卖,182万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.52平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_V76LjK3bw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,正规两房，户型方正，  朝南厅出大阳台,185万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 57.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_VoyrR2jWA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园，正规一方一厅，东向厅出阳台,135万,高楼层                                    (共10层)                                                                      | 1997年建 |                                1室1厅 | 43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wuCAKBJIN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,绝赞好房，户型全明，欢迎大家多多带客...,205万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60.34平米                                  | 东 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_OK8ZxjPjV.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城旁，楼下地铁，户型方正，光线充足，通风好,150万,高楼层                                    (共9层)                                                                      | 1998年建 |                                1室1厅 | 43.49平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_DnlfXq4se.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房户型方正，南向户型 实用率高，小区配套完善。,185万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56.21平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_yzMdmcKYl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,房间位于棠德花园 正规两房 户型方正 安静不吵,255万,中楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 70.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_P9mvco2CP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 户型方正 大两房 采光充足,172万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.63平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_Xu2mP6EOi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
